@RELATION <ISCXFlowMeter-generated-flows>,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,
@ATTRIBUTE min_biat NUMERIC,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,
@ATTRIBUTE max_biat NUMERIC,,,,
@ATTRIBUTE class1 {TOR,NONTOR},,,
@DATA,,,,
1564818,1549373,190205.285714286,203290.456521739,NONTOR
1567554,1527893,165686.977272727,186914.846153846,NONTOR
1270547,1079974,165865.178571429,195302.130434783,NONTOR
2492050,2457286,239543.25,276596.388888889,NONTOR
3094089,3093543,243766.5,295954.725,NONTOR
3149632,2964504,244008.020833333,255167.347826087,NONTOR
2249885,2064514,215483.375,254157.181818182,NONTOR
2426308,2425956,231527.716666667,248101.035714286,NONTOR
2067690,2068091,244213.125,252051.483870968,NONTOR
2321059,2278426,269051.3,330388.16,NONTOR
4238250,4049808,296908.78125,364985.5,NONTOR
2349340,2315198,267851.55,291859.684210526,NONTOR
1039941,851636,143033.25,155777.136363636,NONTOR
8107194,7918721,461149.076923077,527329.652173913,NONTOR
78594,187939,15779.8,54062.25,NONTOR
5881392,5932194,284572.901960784,341885.744186047,NONTOR
3029278,2997586,206406.551020408,223922.586956522,NONTOR
13099598,13090662,1525469.66666667,1721668.875,NONTOR
156252,183469,31283.1428571429,51745.4166666667,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
10531933,10758874,10500000,10800000,NONTOR
12624278,12492923,4296111,4221436,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
3687861,3521252,2331220.4,2375712.2,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
8511243,8582369,1884583.16666667,1869855.33333333,NONTOR
9803389,10025737,2359679,2404259,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5404093,5625758,1328680.5,1365825.33333333,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
5621745,5480150,1957854,1883653.66666667,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
8743412,8965015,4436895,4548485,NONTOR
8058185,8230579,2919304.33333333,2845583,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
10144287,10366032,2603247.6,2629588.2,NONTOR
8949375,9170828,1932783,1953005.16666667,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
-1,-1,0,0,NONTOR
11431645,11431717,4931764.66666667,4932223,NONTOR
