@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {TOR,NONTOR}

@data
90462788,20,5,24383019,24244301,981250.445652,1145098.582278,3866534.822879,4125706.550959,1.912389,701.404427,5,24244301,525946.44186,2842531.654711,2757283,9991858.666667,24613894,8779228.291996,1297996,9071854.888889,24244301,9259660.973921,NONTOR
112842635,80136,34443,19155808,19156077,4030094.107143,4022135.357143,5425283.138048,5458596.65015,0.51399,53.16253,48,18984465,1979695.350877,4237096.473142,1488138,8666236.538462,20096341,5322188.694666,1316693,8323154.846154,18984465,5221815.971921,NONTOR
119997321,29998955,29877038,30001192,30122808,30000000,30000000,1139.647241,100341.445694,0.075002,5.20845,57271,29942424,15000000,15900000,29940078,30000000,30001192,29949.125736,29819767,29900000,29942424,60771.579325,NONTOR
59999533,29999160,29997673,29999160,30001860,30000000,30000000,0,2960.655924,0.083334,5.10004,57142,29943231,15000000,17300000,29943231,30000000,29999160,39547.775152,29940531,29900000,29943231,1909.188047,NONTOR
119990273,29993622,29993869,30006567,30005976,30000000,30000000,7407.734865,5671.633032,0.075006,5.46711,55988,29949988,15000000,16000000,29939357,30000000,30006567,29945.846329,29937619,29900000,29949988,5903.797761,NONTOR
119999800,29991029,29990633,30006406,30007361,30000000,30000000,7806.044698,6927.369751,0.075,5.466676,55603,29950803,15000000,16000000,29945148,30000000,30006406,27911.77675,29934471,29900000,29950803,6806.22492,NONTOR
36505,36505,-1,36505,-1,36505,0,0,0,54.787015,2191.480619,36505,36505,36505,0,-1,0,-1,0,-1,0,-1,0,NONTOR
198831,1006,39,75236,106646,44381.333333,34725.4,38666.504171,49473.463382,50.293968,10330.381077,12,65687,22092.333333,27991.632645,-1,0,-1,0,-1,0,-1,0,NONTOR
118282270,42,17,16031950,16006438,1019239.396552,1459959.197531,3100181.684389,3627586.463413,1.682416,915.048384,17,15980929,597385.20202,2412913.853727,1866042,7872173.2,16183413,4853108.546657,1661066,7709399.8,15980929,4824700.904131,NONTOR
1022,1022,-1,1022,-1,1022,0,0,0,1956.947162,78277.886497,1022,1022,1022,0,-1,0,-1,0,-1,0,-1,0,NONTOR
117368856,41,22,9067535,9043838,631015.354839,826184.161972,1732173.697443,1954166.609194,2.811649,1037.771042,22,9016390,356744.243161,1334778.507304,1144929,5097141.26087,9944694,2438396.944616,1038798,4658179,9016390,2378891.869648,NONTOR
186729,962,59,74655,95423,40632,32315.6,37169.624944,45305.444839,53.553546,10089.487975,21,64833,20747.666667,26269.651004,-1,0,-1,0,-1,0,-1,0,NONTOR
52,-1,52,-1,52,0,52,0,0,38461.538462,2596153.846154,52,52,52,0,-1,0,-1,0,-1,0,-1,0,NONTOR
170959,698,139,28024,65202,21169.8,24238.333333,11492.933522,23905.16587,76.041624,9762.574652,55,65110,14246.583333,20075.615485,-1,0,-1,0,-1,0,-1,0,NONTOR
107096603,4,18,45191549,45192228,1983270.425926,1782406.966667,7689889.270419,7327619.880792,1.083134,487.22367,4,45139968,931274.808696,5332182.755007,1634725,13400000,45341143,16800000,1183140,12900000,45139968,16900000,NONTOR
30076,30076,-1,30076,-1,30076,0,0,0,99.747307,93795.717516,2960,27116,15038,17080.871377,-1,0,-1,0,-1,0,-1,0,NONTOR
118947138,5,0,28912648,28908391,826021.791667,560430.212264,2915015.800161,2441699.326219,3.00974,1169.595186,0,28908340,333185.260504,1890405.225926,1683774,6207605.578947,29905008,6458747.23433,1299314,5351308.631579,28908340,6508305.443727,NONTOR
111834192,6,0,8928425,9111621,642646.229885,454406.426829,1463097.352092,1289289.058221,3.773443,1459.669866,0,8928425,265639.410926,988649.994012,1327541,4465627.28,9273650,2065776.584581,1133116,3672358.68,8928425,2019233.153685,NONTOR
119998306,29998886,29996571,59999414,60001810,40000000,45000000,17300000,21200000,0.058334,2.533369,172564,59826850,20000000,24300000,29998886,40000000,59999414,17300000,29823926,39800000,59826850,17300000,NONTOR
30173398,30000996,30002645,30000996,30002645,30000000,30000000,0,0,0.132567,5.700385,170753,29830243,10100000,17100000,30000996,30000000,30000996,0,29830243,29800000,29830243,0,NONTOR
119801013,5,38,20181245,19995365,636523.962766,861877.791367,2393353.247061,2718356.236963,2.746221,956.636318,5,19995365,365246.990854,1815466.052624,2073526,6286433.157895,20334306,5165223.711127,1405938,5793605.526316,19995365,5178775.417816,NONTOR
20630417,44,22797,20452741,20497634,2947202.428571,5144382.25,7719260.810587,10200000,0.630138,375.901272,44,20449356,1719201.416667,5898488.746901,20556953,20600000,20556953,0,20449356,20400000,20449356,0,NONTOR
116560228,43,0,15574738,15549111,511229.070175,693655.333333,1590872.873742,1830116.542333,3.414544,1285.172503,0,15523568,293602.589421,1227621.684895,1175219,4015877.172414,15634855,3150386.478824,1004875,3525647.103448,15523568,3073185.239463,NONTOR
212291,89,0,28637,28447,683.068182,300.337662,2893.338093,1569.70154,4361.937152,4083866.014103,0,26612,229.503784,1473.363296,-1,0,-1,0,-1,0,-1,0,NONTOR
62797138,41,0,9020907,9076019,371580.698225,536297.700855,1188878.749437,1412946.748002,4.586196,2070.699464,0,9020907,218805.358885,927405.486098,1286430,3689940.176471,9089383,2361102.571091,1020595,3097578,9020907,2410856.665364,NONTOR
44208690,102367,42080,25242163,25241955,8841738,7339323.833333,11100000,10600000,0.29406,34.065701,48,25069464,3684057.5,8031857.122647,3597916,14700000,25242163,10800000,3253410,14500000,25069464,10900000,NONTOR
99835719,9835056,9612803,30000523,30001367,25000000,24900000,10100000,10200000,0.100165,6.400515,50875,29829692,11100000,14400000,9784181,24900000,30000523,10100000,9612803,24800000,29829692,10100000,NONTOR
119999693,119999693,-1,119999693,-1,120000000,0,0,0,0.025,2.233339,55138,119944555,60000000,84800000,119999693,120000000,119999693,0,119944555,120000000,119944555,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
119995803,29999608,29996826,30000682,30000621,30000000,30000000,558.846878,1620.896845,0.075003,3.200112,168335,29829504,15000000,15900000,29827301,30000000,30000682,86378.53854,29827301,29800000,29829504,900.757783,NONTOR
11374631,1563,19507,5353142,5274850,1620668.142857,1622094.142857,2281406.135279,2268390.449341,1.406639,188.225886,101,5274850,758308.733333,1692391.686348,1495887,3762550.333333,5349767,2014778.795112,1475880,3692139.333333,5274850,1977139.651112,NONTOR
112223504,392,20245,36533946,36533913,4155675.777778,4155703.296296,7901815.063933,7898926.246687,0.499004,65.342818,38,36513668,2040427.345455,5856898.506087,1535995,7012702.875,36533946,9325013.174031,1428331,6949416.375,36513668,9340262.966888,NONTOR
115802631,68,48,5033368,5012306,2270121.921569,2184462.226415,2224843.980063,2222117.997238,0.915351,321.564369,48,5007596,1102882.2,1903440.356196,1187753,3976406.758621,5614516,1510301.219726,1138240,3881889.517241,5007596,1544216.99395,NONTOR
117014500,110,75,8727787,8726620,3655906.53125,3655893.40625,2381528.391842,2389144.257312,0.564033,171.320648,75,8701870,1800223.076923,2459993.754472,1046878,4499577.269231,8727787,1800002.776311,1022071,4460364.153846,8701870,1796083.707132,NONTOR
69405871,27,49,14956551,14865894,3855881.722222,3850910.222222,3569873.328937,3557533.243706,0.547504,181.728142,27,14865894,1875834.351351,3112885.621581,4140643,5778505.5,15001027,2932926.002105,4050666,5662556.333333,14865894,2914764.44423,NONTOR
29890,29890,-1,29890,-1,29890,0,0,0,100.368016,94379.391101,2023,27867,14945,18274.467626,-1,0,-1,0,-1,0,-1,0,NONTOR
87805460,28026,1876,45086942,45161803,7317121.666667,7310797.416667,13000000,13000000,0.296109,40.69223,36,45086942,3512218.4,9550137.365407,3041826,12500000,45107250,15300000,2978071,12500000,45086942,15300000,NONTOR
3688495,20179,742,3578979,3581902,1218454.333333,1211759.333333,2044353.686284,2052767.738976,2.168906,298.766841,65,3525762,526927.857143,1322553.665129,3578979,3578979,3578979,0,3525762,3525762,3525762,0,NONTOR
2355848,713,76,1972638,2047794,261760.888889,325615.714286,642125.191846,759805.420668,7.640561,930.450521,44,1972638,138579.294118,473258.505844,2169338,2169338,2169338,0,1972638,1972638,1972638,0,NONTOR
90175002,12043366,11813112,47959125,48189553,30000000,30000000,18000000,18200000,0.088716,6.13252,58035,47959125,12900000,19000000,11985331,30000000,48017160,18000000,11813112,29900000,47959125,18100000,NONTOR
6373,22,-1,706,-1,138.543478,0,191.292006,0,7374.862702,294994.508081,22,706,138.543478,191.292006,-1,0,-1,0,-1,0,-1,0,NONTOR
331,131,-1,200,-1,165.5,0,48.780119,0,9063.444109,362537.76435,131,200,165.5,48.780119,-1,0,-1,0,-1,0,-1,0,NONTOR
2807,24,102,1786,1851,556,630.25,712.988955,821.212062,3918.774492,459209.120057,24,1678,280.7,499.068143,-1,0,-1,0,-1,0,-1,0,NONTOR
680,27,-1,337,-1,226.666667,0,173.233465,0,5882.352941,235294.117647,27,337,226.666667,173.233465,-1,0,-1,0,-1,0,-1,0,NONTOR
55,55,-1,55,-1,55,0,0,0,36363.636364,1454545.454545,55,55,55,0,-1,0,-1,0,-1,0,-1,0,NONTOR
157,157,-1,157,-1,157,0,0,0,12738.853503,509554.140127,157,157,157,0,-1,0,-1,0,-1,0,-1,0,NONTOR
2960,34,143,1416,1420,586,577.25,542.44055,589.572656,3716.216216,550675.675676,30,1177,296,358.314108,-1,0,-1,0,-1,0,-1,0,NONTOR
135,135,-1,135,-1,135,0,0,0,14814.814815,592592.592593,135,135,135,0,-1,0,-1,0,-1,0,-1,0,NONTOR
2916,33,115,1632,1687,582,638,718.2481,724.551585,3429.355281,558641.975309,33,1388,324,412.704343,-1,0,-1,0,-1,0,-1,0,NONTOR
485,167,-1,318,-1,242.5,0,106.768441,0,6185.56701,311340.206186,167,318,242.5,106.768441,-1,0,-1,0,-1,0,-1,0,NONTOR
7976,17,-1,536,-1,85.763441,0,123.200517,0,11785.356068,471414.242728,17,536,85.763441,123.200517,-1,0,-1,0,-1,0,-1,0,NONTOR
2798,33,23,1659,1740,570.25,611.5,742.98985,773.767407,3573.981415,688706.218728,23,1503,310.888889,460.503514,-1,0,-1,0,-1,0,-1,0,NONTOR
6021,33,36,2683,2768,995.25,1249.5,1217.774439,1293.971664,1660.853679,357415.711676,33,2526,669,893.888206,-1,0,-1,0,-1,0,-1,0,NONTOR
581,59,-1,522,-1,290.5,0,327.388912,0,5163.511188,259896.729776,59,522,290.5,327.388912,-1,0,-1,0,-1,0,-1,0,NONTOR
25913,3,10,2112,1131,45.863717,128.481675,147.24557,166.550967,29251.726932,31900000,3,1230,34.231176,94.588426,-1,0,-1,0,-1,0,-1,0,NONTOR
7800,3,49,2284,1669,109.859155,375.263158,342.039338,476.070063,11794.871795,12900000,3,1457,85.714286,239.02686,-1,0,-1,0,-1,0,-1,0,NONTOR
14733,3,48,3057,2024,55.179775,205.647059,222.982234,319.319999,22873.820675,26900000,3,1815,43.848214,154.745996,-1,0,-1,0,-1,0,-1,0,NONTOR
3188,36,36,1718,1782,632.4,538.2,650.75729,725.425358,3764.115433,812107.904642,26,1478,289.818182,421.819468,-1,0,-1,0,-1,0,-1,0,NONTOR
690668,3,10,16363,14389,40.998931,75.616447,296.323031,266.788469,37598.383015,34800000,0,13899,26.597913,144.614833,-1,0,-1,0,-1,0,-1,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
0,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,NONTOR
