@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {TOR,NONTOR}

@data
117202678,17,4,35188437,35149142,474297.57085,557867.233333,2502257.059664,2693575.562216,3.916293,1411.640099,4,35137650,255901.043668,1839547.853188,1363299,5561679.571429,35334176,7589073.028602,1079974,4426667.333333,35137650,7605741.409175,NONTOR
119579137,16,4,35208950,35022877,510804.294872,541003.561086,2582051.857539,2634447.465623,3.821737,1731.104649,4,35022877,262234.949561,1849452.284503,1443143,4972741.958333,35280803,7131588.382402,1065834,4185795.125,35022877,7108954.463439,NONTOR
65341087,18,5,26116331,25978548,687322.315789,750396.241379,3213452.403465,3322049.377881,2.815992,1238.133672,5,25978548,357055.120219,2313498.670279,1566070,9245734.571429,26194797,9349672.159347,1197148,8231822,25978548,9321697.536511,NONTOR
119999180,29999272,29999277,30001029,30001305,30000000,30000000,826.82223,1154.763396,0.075001,6.083375,54824,29944585,15000000,16000000,29999272,30000000,30001029,826.82223,29944247,29900000,29944585,149.915254,NONTOR
119999214,29999300,29999239,30000886,30000507,30000000,30000000,730.496635,682.571242,0.075,3.250021,57471,29941980,15000000,16000000,29999300,30000000,30000886,730.496635,29941524,29900000,29941980,200.04312,NONTOR
119999423,29999203,29998546,30001304,30001775,30000000,30000000,994.136099,1712.401968,0.075,5.208358,57023,29942685,15000000,16000000,29999203,30000000,30001304,994.136099,29941487,29900000,29942685,495.613341,NONTOR
117377081,68498,41928,23816537,23521535,5335321.863636,5321913.409091,6894311.491915,6855914.551767,0.391899,35.390214,79,23521535,2608379.577778,5402045.686947,1212858,8380504.714286,23766506,7101679.985398,1032008,8155093.285714,23521535,7116621.996196,NONTOR
119942507,29999257,29999143,30001014,30001228,30000000,30000000,952.709732,1043.77959,0.066699,2.868041,57422,29943592,17100000,16000000,29942739,30000000,30001014,28602.413137,29941721,29900000,29943592,868.495586,NONTOR
119998908,29999187,29998695,30001059,30001011,30000000,30000000,1001.494799,967.979511,0.075001,5.466716,54803,29946122,15000000,16000000,29944353,30000000,30001059,27794.198062,29943758,29900000,29946122,1006.001988,NONTOR
178583,-1,-1,-1,-1,0,0,0,0,11.199274,481.568794,178583,178583,178583,0,-1,0,-1,0,-1,0,-1,0,NONTOR
112410081,89928,35564,21349694,21127586,3304092.441176,3206832.571429,4466429.230133,4422333.095056,0.631616,56.889915,70,21127586,1605858.3,3456926.313088,1423241,6225956.722222,21298847,4760100.503814,1252013,5859591.5,21127586,4758397.187241,NONTOR
119999916,29999995,29990227,30000104,30010022,30000000,30000000,55.76588,8083.02198,0.075,3.200002,57418,29942686,15000000,16000000,29942220,30000000,30000104,28911.369188,29932659,29900000,29942686,4895.222833,NONTOR
90054963,29999953,29987958,30000140,30011929,30000000,30000000,93.626029,11991.546599,0.088835,6.840267,54473,29945565,12900000,16000000,29999953,30000000,30000140,93.626029,29933126,29900000,29945565,7051.804296,NONTOR
90057709,29999982,29991601,30000117,30008871,30000000,30000000,75.21857,8635.001534,0.088832,5.907323,57010,29943107,12900000,16000000,29999982,30000000,30000117,75.21857,29934098,29900000,29943107,5167.055883,NONTOR
1124443,-1,1066808,-1,1066808,0,1066808,0,0,2.667988,112.05548,57635,1066808,562221.5,713593.07169,1124443,1124443,1124443,0,1066808,1066808,1066808,0,NONTOR
118943225,133251,42574,23677842,23461940,6605686.444444,6257527.526316,7912027.154404,7830222.436414,0.327888,33.335232,46,23461940,3130084.868421,6271900.617287,1541152,10800000,23633067,7677158.557595,1351826,10600000,23461940,7717077.171016,NONTOR
