@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {TOR,NONTOR},,,,,,,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
117202678,17,4,35188437,35149142,474297.570850202,557867.233333333,2502257.05966366,2693575.56221566,3.9162927659,1411.6400992134,4,35137650,255901.043668122,1839547.85318767,1363299,5561679.57142857,35334176,7589073.02860201,1079974,4426667.33333333,35137650,7605741.40917507,NONTOR
119579137,16,4,35208950,35022877,510804.294871795,541003.561085973,2582051.85753879,2634447.46562297,3.8217368971,1731.1046491329,4,35022877,262234.949561403,1849452.2845032,1443143,4972741.95833333,35280803,7131588.38240225,1065834,4185795.125,35022877,7108954.4634386,NONTOR
90462788,20,5,24383019,24244301,981250.445652174,1145098.58227848,3866534.82287876,4125706.55095876,1.9123885503,701.4044271994,5,24244301,525946.441860465,2842531.65471105,2757283,9991858.66666667,24613894,8779228.29199571,1297996,9071854.88888889,24244301,9259660.9739212,NONTOR
65341087,18,5,26116331,25978548,687322.315789474,750396.24137931,3213452.40346537,3322049.37788078,2.8159923327,1238.1336723094,5,25978548,357055.120218579,2313498.67027901,1566070,9245734.57142857,26194797,9349672.15934727,1197148,8231822,25978548,9321697.53651132,NONTOR
119999180,29999272,29999277,30001029,30001305,30000000,30000000,826.8222299863,1154.763395679,0.0750005125,6.0833749031,54824,29944585,15000000,16000000,29999272,30000000,30001029,826.8222299863,29944247,29900000,29944585,149.9152538379,NONTOR
119999214,29999300,29999239,30000886,30000507,30000000,30000000,730.4966347173,682.571241703,0.0750004913,3.2500212876,57471,29941980,15000000,16000000,29999300,30000000,30000886,730.4966347173,29941524,29900000,29941980,200.0431203513,NONTOR
119999423,29999203,29998546,30001304,30001775,30000000,30000000,994.1360989992,1712.401967997,0.0750003606,5.2083583769,57023,29942685,15000000,16000000,29999203,30000000,30001304,994.1360989992,29941487,29900000,29942685,495.6133405518,NONTOR
117377081,68498,41928,23816537,23521535,5335321.86363636,5321913.40909091,6894311.49191505,6855914.55176653,0.3918993351,35.3902138698,79,23521535,2608379.57777778,5402045.68694668,1212858,8380504.71428572,23766506,7101679.98539821,1032008,8155093.28571429,23521535,7116621.99619597,NONTOR
119942507,29999257,29999143,30001014,30001228,30000000,30000000,952.7097319403,1043.7795903994,0.0666986225,2.8680407689,57422,29943592,17100000,16000000,29942739,30000000,30001014,28602.413136832,29941721,29900000,29943592,868.4955862486,NONTOR
112842635,80136,34443,19155808,19156077,4030094.10714286,4022135.35714286,5425283.13804816,5458596.65014951,0.5139901244,53.1625302794,48,18984465,1979695.35087719,4237096.47314203,1488138,8666236.53846154,20096341,5322188.69466609,1316693,8323154.84615385,18984465,5221815.97192074,NONTOR
