@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {TOR,NONTOR}

@data
25199304,16,4,11037969,10851858,359269.9,387414.676923,1373361.88657,1392884.659428,5.436658,2559.792921,4,10851858,185289,976395.38809,1710925,4164396.5,14269600,4973925.972214,1234883,3150269.333333,10851858,3797335.577638,NONTOR
20956683,89979,44534,20611301,20608388,6958452,6926591,11800000,11800000,0.38174,39.605504,79,20434391,2993811.857143,7690862.591001,20611301,20600000,20611301,0,20434391,20400000,20434391,0,NONTOR
29998546,-1,29998546,-1,29998546,0,30000000,0,0,0.100005,5.766946,57059,29941487,15000000,21100000,29941487,29900000,29941487,0,29941487,29900000,29941487,0,NONTOR
29999708,29999708,-1,29999708,-1,30000000,0,0,0,0.100001,7.533407,57023,29942685,15000000,21100000,29999708,30000000,29999708,0,29942685,29900000,29942685,0,NONTOR
24295352,89917,41928,12061989,11927356,3015532.5,3015184,4934147.318463,4951159.393833,0.740882,69.807591,79,11927356,1429138.352941,3579358.525125,1212858,7780106.333333,12274057,5814761.666685,1032008,7587584.333333,11927356,5775767.892747,NONTOR
29942739,-1,-1,-1,-1,0,0,0,0,0.066794,2.872149,29942739,29942739,29900000,0,29942739,29900000,29942739,0,29942739,29900000,29942739,0,NONTOR
29999829,-1,29999829,-1,29999829,0,30000000,0,0,0.100001,4.200024,57609,29942220,15000000,21100000,29942220,29900000,29942220,0,29942220,29900000,29942220,0,NONTOR
57418,-1,-1,-1,-1,0,0,0,0,34.832283,1497.78815,57418,57418,57418,0,-1,0,-1,0,-1,0,-1,0,NONTOR
57120,-1,-1,-1,-1,0,0,0,0,35.014006,2328.431373,57120,57120,57120,0,-1,0,-1,0,-1,0,-1,0,NONTOR
28111505,89928,35564,9440454,9328647,2342625.416667,2146060.384615,3216146.897687,3134243.070958,0.960461,95.654786,70,9328647,1081211.730769,2395822.311458,4769333,7017659,9671507,2079240.67605,4733683,6334149.25,9328647,2048120.235574,NONTOR
