@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {TOR,NONTOR},,,,,,,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
22930417,18,4,10995965,10960941,314115.301369863,360993.158730159,1306744.81545564,1389354.90062819,6.01820717,2232.1879275026,4,10945954,167375.306569343,952994.511203594,1491627,5011278.5,11141326,4507599.69830064,1079974,3668800,10945954,4855368.32416351,NONTOR
25199304,16,4,11037969,10851858,359269.9,387414.676923077,1373361.88656978,1392884.65942825,5.4366580918,2559.7929212648,4,10851858,185289,976395.388089511,1710925,4164396.5,14269600,4973925.97221359,1234883,3150269.33333333,10851858,3797335.57763752,NONTOR
29772995,17,7,4093396,3956161,261815.256637168,310135.364583333,644542.23072836,651271.709687433,7.0869591722,2544.4534552201,7,3956161,141776.166666667,462297.947929595,1363299,2706523.1,6192566,1445371.8502646,1147658,1955467.8,3956161,893848.319039931,NONTOR
29609149,22,6,3954677,3943698,271180.963302752,287136.446601942,668547.418823319,659045.956199644,7.2274957987,3199.0112245374,6,3895269,139010.089201878,472527.270988182,1443143,2937554.6,4176130,876966.909209071,1065834,2022584.6,3895269,930381.312752728,NONTOR
7863522,30,8,2067690,2068091,244213.125,252051.483870968,571806.194574827,562812.286698527,8.2660161693,3567.8669176484,8,2017289,122867.53125,400581.17073558,2092947,2535198.66666667,3282729,650992.780391483,1707343,1897912,2017289,166786.859124153,NONTOR
8259704,18,9,2321059,2278426,269051.3,330388.16,639533.232125757,637243.988848213,6.9009736911,2352.3845406567,9,2270116,147494.714285714,449957.584261701,2368851,2687726,3162320,419028.124008998,1702783,1980072,2270116,283881.490662037,NONTOR
9501115,28,16,4238250,4049808,296908.78125,364985.5,807291.578739526,825945.83339029,6.3150482864,2260.3662833257,16,4049808,161035.847457627,571035.072721225,4457215,4565761,4674307,153507.225338093,1632072,2840940,4049808,1709597.52071855,NONTOR
5545334,30,6,2349340,2315198,267851.55,291859.684210526,662553.265034512,667200.262668693,7.3936033429,3556.6838715215,6,2297754,138633.35,468135.293018252,2347008,2656002,2964996,436983.505490768,1978303,2138028.5,2297754,225885.96835461,NONTOR
12128582,21,8,8107194,7918721,461149.076923077,527329.652173913,1616625.83405983,1669652.39612461,4.2049433314,1559.2919271189,8,7918721,242571.64,1148808.90116345,2762034,5957443.5,9152853,4518991.45223572,2066591,4992656,7918721,4138080.80738511,NONTOR
15467172,19,10,11955453,11767212,515571.666666667,570761.407407407,2171466.58174063,2245870.77201617,3.8145305425,1533.6998903226,10,11767212,266675.379310345,1542375.92781679,15250923,15300000,15250923,0,11767212,11800000,11767212,0,NONTOR
