@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute duration numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute std_fiat numeric
@attribute std_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {TOR,NONTOR}

@data
67,-1,-1,-1,-1,0,0,0,0,29850.746269,1194029.850746,67,67,67,0,-1,0,-1,0,-1,0,-1,0,NONTOR
70,-1,-1,-1,-1,0,0,0,0,28571.428571,1142857.142857,70,70,70,0,-1,0,-1,0,-1,0,-1,0,NONTOR
30057237,30000117,30000227,30000117,30000227,30000000,30000000,0,0,0.133079,8.849782,57010,29943107,10000000,17300000,30000117,30000000,30000117,0,29943107,29900000,29943107,0,NONTOR
59368287,90559,37796,11431645,11431717,3115632.947368,3115562.315789,3139660.256156,3139868.24358,0.67376,58.448714,107,11381740,1522263.769231,2619706.268061,1423241,4933085.5,11568339,2869701.309115,1252013,4673661,11381740,2831306.354645,NONTOR
59999877,29999272,29998883,30000605,29998883,30000000,30000000,942.572809,0,0.083334,5.983346,57021,29943584,15000000,17300000,29999272,30000000,30000605,942.572809,29941862,29900000,29943584,1217.637467,NONTOR
59998671,29999303,29999248,29999303,29999423,30000000,30000000,0,123.739646,0.083335,5.800128,54826,29944542,15000000,17300000,29944542,30000000,29999303,38721.874432,29944422,29900000,29944542,84.846921,NONTOR
59943821,30000738,30000590,30000738,30000590,30000000,30000000,0,0,0.066729,4.437488,57507,29943231,20000000,17300000,29943083,30000000,30000738,40768.241457,29943083,29900000,29943231,104.647026,NONTOR
59996878,30001750,29996016,30001750,30000862,30000000,30000000,0,3426.639316,0.083338,5.800302,55886,29944976,15000000,17300000,29939242,30000000,30001750,44199.830667,29939242,29900000,29944976,4054.55016,NONTOR
50363821,47387,35436,10634620,10412309,2791843.388889,2650727.421053,3658032.378673,3585277.428669,0.774365,83.710884,60,10412309,1325363.710526,2800075.957453,1197560,6253141.875,10581691,3275437.455159,1144850,5919594.75,10412309,3283103.507158,NONTOR
172665,-1,-1,-1,-1,0,0,0,0,11.583123,498.074306,172665,172665,172665,0,-1,0,-1,0,-1,0,-1,0,NONTOR
42350776,91429,36526,7757273,7976783,2646923.5,2632711.5,2449848.25443,2464973.138826,0.802819,62.855991,76,7757273,1283356.848485,2089072.391518,1418351,4229347.5,8259172,2126797.61049,1360283,3963479.2,7757273,2005786.167546,NONTOR
59999845,29993854,29993869,29993854,30005976,30000000,30000000,0,8560.941741,0.083334,5.800015,55988,29949988,15000000,17300000,29949988,30000000,29993854,31017.946047,29937866,29900000,29949988,8571.548343,NONTOR
52992953,80165,34451,11379162,11381215,2934652.055556,2934642.944444,4042992.769053,4053443.919275,0.717076,70.254624,48,11210287,1432241.972973,3102499.674987,1572807,7421676.142857,11379162,3571522.931883,1232522,6970563.285714,11210287,3673314.137403,NONTOR
59991396,30000835,29990633,30000835,30000763,30000000,30000000,0,7162.991624,0.083345,5.800832,56090,29944673,15000000,17300000,29934471,30000000,30000835,46926.434416,29934471,29900000,29944673,7213.903312,NONTOR
13412,13412,-1,13412,-1,13412,0,0,0,149.120191,5964.807635,13412,13412,13412,0,-1,0,-1,0,-1,0,-1,0,NONTOR
57496434,54,70,5026686,5027225,1795976.5625,1853918.032258,1764978.543911,1758118.45824,1.130505,341.760326,54,5002694,898381.78125,1518685.460859,1273533,2873562.5,5197459,1419278.336005,1249112,2812554.5,5002694,1426006.991981,NONTOR
35409,35409,-1,35409,-1,35409,0,0,0,56.482815,2259.312604,35409,35409,35409,0,-1,0,-1,0,-1,0,-1,0,NONTOR
52374803,41,22,5490034,5516369,447647.888889,587917.977528,1170320.862678,1327296.246356,3.971375,1420.492216,22,5490034,253018.371981,904627.840046,1551540,4274463,6022223,1438189.483359,1336874,3685068.166667,5490034,1218798.790415,NONTOR
59089030,45,91,5006538,5006481,1586939.837838,1641361.944444,1844776.93387,1843302.072184,1.269271,393.507898,45,4981821,798500.405405,1507549.505421,1390632,3472419.352941,5330927,1466073.445098,1364794,3256888.823529,4981821,1405733.258755,NONTOR
47523108,44,66,9912165,9912391,819352.741379,880050.111111,1740541.905754,1787898.234452,2.398833,858.571792,44,9887324,420558.477876,1301596.072811,1229656,3163880.133333,10000016,2426598.138842,1175221,2850806.4,9887324,2473403.194514,NONTOR
29679,29679,-1,29679,-1,29679,0,0,0,101.081573,95050.372317,2177,27502,14839.5,17907.479206,-1,0,-1,0,-1,0,-1,0,NONTOR
58746098,4751,81,1801896,1554557,559015.657143,502102.965812,643424.279204,555535.834762,3.813019,887.446176,31,1554557,263435.41704,460952.821072,1990335,2002705.344828,2024746,5473.169118,1249069,1430199.344828,1554557,104488.365045,NONTOR
58788403,150,76,2002091,2000546,559410.514286,511203.173913,648014.127331,595783.095156,3.776255,885.08953,29,1806821,266010.873303,472097.568524,1714014,2074651.928571,4005469,394164.807342,1236803,1466267.892857,1806821,142242.275517,NONTOR
59962996,106,19,5733010,5811499,559453.438095,555212.925926,840404.2897,812465.179687,3.585545,1201.040722,19,5537495,280200.915888,597235.966998,1351112,3025053.611111,9114154,2425250.93444,1250907,1855031.888889,5537495,1039172.539148,NONTOR
58719741,116,496,1914554,1906513,393751.644295,399118.782313,583586.541843,598017.972399,5.074954,1796.142119,30,1856636,197709.565657,441066.8001,1678671,2002993.37931,2331950,87330.064545,1045130,1517013.689655,1856636,177155.160203,NONTOR
58729758,108,14786,1656854,1868346,396524.222973,396481.986486,572919.466481,594165.023213,5.074089,1772.270201,31,1656854,197743.292929,436794.396084,1989703,2003351.448276,2017909,4384.995399,1275862,1506771.206897,1656854,150419.503234,NONTOR
5311369,5,20,2389919,2527565,250466.095238,211864.04,553000.969456,541863.21442,9.037218,4254.270415,5,2389919,113007.851064,382034.423656,2011340,2559875,3108410,775745.636436,1183140,1786529.5,2389919,853321.614293,NONTOR
5949505,66,10014,4704859,4752365,849929.285714,1473676,1744674.547969,2246169.026174,2.185056,1282.627714,66,4704859,495792.083333,1360685.644129,1115860,2938667,4761474,2577838.380988,1084195,2894527,4704859,2560196.066798,NONTOR
56595164,17,37,9395923,9577796,483719.350427,354824.201258,1302989.61936,1182565.33265,4.91208,1551.12193,17,9395923,204314.67148,877573.523302,1478747,3741190.133333,9746735,2394372.264018,1137503,3160913.733333,9395923,2281585.909247,NONTOR
286,286,-1,286,-1,286,0,0,0,6993.006993,472027.972028,286,286,286,0,-1,0,-1,0,-1,0,-1,0,NONTOR
78,78,-1,78,-1,78,0,0,0,25641.025641,1730769.230769,78,78,78,0,-1,0,-1,0,-1,0,-1,0,NONTOR
94,94,-1,94,-1,94,0,0,0,21276.595745,1436170.212766,94,94,94,0,-1,0,-1,0,-1,0,-1,0,NONTOR
59903611,3,33,59578498,59541232,1871987.84375,2717220.227273,10500000,12700000,0.934835,620.246416,3,59417975,1089156.563636,8010767.905645,59764828,59800000,59764828,0,59417975,59400000,59417975,0,NONTOR
131,131,-1,131,-1,131,0,0,0,15267.175573,1030534.351145,131,131,131,0,-1,0,-1,0,-1,0,-1,0,NONTOR
21144,21144,-1,21144,-1,21144,0,0,0,94.589482,3783.579266,21144,21144,21144,0,-1,0,-1,0,-1,0,-1,0,NONTOR
1027,1027,-1,1027,-1,1027,0,0,0,1947.419669,77896.786758,1027,1027,1027,0,-1,0,-1,0,-1,0,-1,0,NONTOR
6660,6660,-1,6660,-1,6660,0,0,0,300.3003,12012.012012,6660,6660,6660,0,-1,0,-1,0,-1,0,-1,0,NONTOR
100,100,-1,100,-1,100,0,0,0,20000,1350000,100,100,100,0,-1,0,-1,0,-1,0,-1,0,NONTOR
864,864,-1,864,-1,864,0,0,0,2314.814815,92592.592593,864,864,864,0,-1,0,-1,0,-1,0,-1,0,NONTOR
58146039,3,34,40930824,40887432,568881.382353,743895.820513,4139576.717528,4720514.28107,3.13005,2055.0497,3,40766562,321248.834254,3097284.306228,3695033,14200000,41084193,18000000,3369913,13900000,40766562,18000000,NONTOR
1000204,188,69,182163,184645,84918.5,65272,73223.168625,82076.085386,24.994901,7945.379143,21,181671,41675.166667,66338.622302,-1,0,-1,0,-1,0,-1,0,NONTOR
147,-1,147,-1,147,0,147,0,0,13605.442177,918367.346939,147,147,147,0,-1,0,-1,0,-1,0,-1,0,NONTOR
443080,1511,117,171259,162822,93896.333333,64362.8,85865.337947,87840.157658,22.569288,4746.321206,37,161391,49231.111111,64414.384894,-1,0,-1,0,-1,0,-1,0,NONTOR
48039952,10,60,27005102,27001987,958117.7,638924.653333,3889202.092222,3196137.330525,2.643633,436.782285,10,26880981,381269.460317,2462258.573639,3751687,9335645,27455697,10100000,2124801,8160309.4,26880981,10500000,NONTOR
59746214,5,55,140495,59562486,7224.35,4267586.714286,31374.784592,15900000,0.602549,396.594167,5,59441072,1707034.685714,10000000,59441072,59400000,59441072,0,59441072,59400000,59441072,0,NONTOR
1034,1034,-1,1034,-1,1034,0,0,0,1934.235977,77369.439072,1034,1034,1034,0,-1,0,-1,0,-1,0,-1,0,NONTOR
56774814,8,44,27359753,27359947,1068939.283019,690905.658537,3863432.614015,3136871.348408,2.413042,399.085411,8,27238646,417461.867647,2434554.651882,2290371,7027844.875,27799946,8474873.893539,1880854,6261111.5,27238646,8527210.757484,NONTOR
51023412,9,48,9090280,9092222,706981.111111,446513.061404,1732572.25817,1407416.095828,3.684583,554.255368,9,8968804,272852.470588,1092388.957239,1871899,5416384.444444,10534993,2473501.683892,1454623,4635593,8968804,2254654.961813,NONTOR
120,-1,120,-1,120,0,120,0,0,16666.666667,1125000,120,120,120,0,-1,0,-1,0,-1,0,-1,0,NONTOR
48504829,7,76,6811137,6805230,662798.123288,447999.416667,1413953.990876,1196972.94032,3.77282,605.486105,7,6684545,266510.049451,915780.058355,2011851,4794868.4,7141695,1499077.678214,1262989,3733866.9,6684545,1572637.351725,NONTOR
52153637,136,46,19594502,19595204,3252044.5,2081325,6475147.639119,5351274.731408,0.824487,111.363278,17,19474068,1241753.261905,4186316.199866,6117842,13000000,19769073,6903999.742686,5789915,12600000,19474068,6915294.273233,NONTOR
1092,1092,-1,1092,-1,1092,0,0,0,1831.501832,73260.07326,1092,1092,1092,0,-1,0,-1,0,-1,0,-1,0,NONTOR
