@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement

@attribute duration numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute std_fiat numeric
@attribute std_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {TOR,NONTOR}

@data
76,-1,-1,-1,-1,0,0,0,0,26315.789474,1052631.578947,76,76,76,0,-1,0,-1,0,-1,0,-1,0,NONTOR
54,-1,-1,-1,-1,0,0,0,0,37037.037037,1481481.481481,54,54,54,0,-1,0,-1,0,-1,0,-1,0,NONTOR
75,-1,-1,-1,-1,0,0,0,0,26666.666667,1066666.666667,75,75,75,0,-1,0,-1,0,-1,0,-1,0,NONTOR
14512571,14512571,-1,14512571,-1,14500000,0,0,0,0.206717,8.268693,69,14512502,7256285.5,10300000,14512571,14500000,14512571,0,14512502,14500000,14512502,0,NONTOR
41,-1,-1,-1,-1,0,0,0,0,48780.487805,1951219.512195,41,41,41,0,-1,0,-1,0,-1,0,-1,0,NONTOR
71,-1,-1,-1,-1,0,0,0,0,28169.014085,1126760.56338,71,71,71,0,-1,0,-1,0,-1,0,-1,0,NONTOR
60,-1,-1,-1,-1,0,0,0,0,33333.333333,1333333.333333,60,60,60,0,-1,0,-1,0,-1,0,-1,0,NONTOR
76,-1,-1,-1,-1,0,0,0,0,26315.789474,1052631.578947,76,76,76,0,-1,0,-1,0,-1,0,-1,0,NONTOR
69,-1,-1,-1,-1,0,0,0,0,28985.507246,1159420.289855,69,69,69,0,-1,0,-1,0,-1,0,-1,0,NONTOR
13302587,13302587,-1,13302587,-1,13300000,0,0,0,0.22552,9.020802,70,13302517,6651293.5,9406250.480075,13302587,13300000,13302587,0,13302517,13300000,13302517,0,NONTOR
59005696,16,4,11564793,11548477,398686.986486,421345.328571,1421158.885118,1438391.621735,4.91478,2248.359209,4,11514382,204171.958478,1017107.829069,1443143,4180902.142857,14269600,3867463.053783,1065834,3306945.571429,11514382,3435845.4934,NONTOR
59844887,18,4,11379406,11379337,358352.227545,418142.153846,1317980.722651,1400452.158034,5.213478,1909.03527,4,11242048,192427.289389,963435.019667,1363299,4208649.285714,14127351,3919367.732494,1079974,3148508.357143,11242048,3460254.1375,NONTOR
55964982,17,9,35188437,35149142,706030.620253,847954.272727,3994099.62596,4347988.63398,2.626642,914.893531,9,35137650,383321.794521,2940559.05251,2368851,9259595.833333,35334176,12900000,1632072,7914681.333333,35137650,13400000,NONTOR
58969629,22,6,35208950,35022877,691543.4,737120.3625,3858143.814618,3950758.662109,2.831966,1260.615019,6,35022877,355238.728916,2756993.49662,2092947,6526255.444444,35280803,10800000,1252392,5839781.444444,35022877,11000000,NONTOR
36742476,21,8,24383019,24244301,1220173,1413172.153846,4626710.099426,4913886.533359,1.578554,580.009905,8,24244301,644604.842105,3358801.460018,2762034,12200000,24613894,11200000,2066591,11400000,24244301,11500000,NONTOR
51746159,18,5,26116331,25978548,646217.525,698507.364865,3199889.228725,3297109.248212,3.014717,1307.382061,5,25978548,333846.187097,2295949.236603,1566070,8581026.333333,26194797,10100000,1197148,7441461.833333,25978548,9951162.380998,NONTOR
30077549,20,5,13099598,13090662,489989.442623,578414.403846,1841338.888905,1976847.705589,3.82345,1401.045012,5,13047812,263838.149123,1353099.856646,2757283,5908297.8,13243650,4307438.951466,1297996,4754863.6,13047812,4995762.648942,NONTOR
620945,18,6,156252,183469,31283.142857,51745.416667,49119.297534,65032.495405,45.092561,21336.833375,6,138002,22997.962963,38169.67036,-1,0,-1,0,-1,0,-1,0,NONTOR
30058560,29999577,30000507,29999577,30000507,30000000,30000000,0,0,0.133074,5.722164,58053,29941524,10000000,17300000,29999577,30000000,29999577,0,29941524,29900000,29941524,0,NONTOR
30056129,29999409,30001305,29999409,30001305,30000000,30000000,0,0,0.133084,10.247494,54824,29944585,10000000,17300000,29999409,30000000,29999409,0,29944585,29900000,29944585,0,NONTOR
30059020,29999203,30001775,29999203,30001775,30000000,30000000,0,0,0.133072,8.849257,57245,29941958,10000000,17300000,29999203,30000000,29999203,0,29941958,29900000,29941958,0,NONTOR
55305153,89979,44534,23816537,23521535,11000000,11000000,11100000,11000000,0.216978,22.69228,79,23521535,5027741.181818,8965619.390056,10581964,18300000,23766506,6884463.995129,10531933,18200000,23521535,6786247.03152,NONTOR
59998742,29999272,29999277,29999470,29999277,30000000,30000000,140.003571,0,0.083335,7.033481,55025,29944440,15000000,17300000,29999272,30000000,29999470,140.003571,29944247,29900000,29944440,136.467945,NONTOR
59998751,29999300,29999239,29999451,29999239,30000000,30000000,106.768441,0,0.083335,3.633409,57471,29941980,15000000,17300000,29999300,30000000,29999451,106.768441,29941768,29900000,29941980,149.903302,NONTOR
59998916,29999208,29999172,29999708,29999172,30000000,30000000,353.551976,0,0.083335,5.983441,57023,29942685,15000000,17300000,29999208,30000000,29999708,353.551976,29942149,29900000,29942685,379.007915,NONTOR
59910544,68498,41928,12061989,11927356,3325584.222222,3503219.235294,3905767.057411,3970555.106993,0.617587,51.660355,79,11927356,1664181.777778,3156763.936834,1212858,5398399.454545,12274057,3859369.184186,1032008,5181264.818182,11927356,3904662.095109,NONTOR
59939033,29998955,29997650,29998955,29997650,30000000,30000000,0,0,0.066734,5.322075,57572,29941383,20000000,17300000,29940078,30000000,29998955,41632.325944,29940078,29900000,29941383,922.773808,NONTOR
53965451,80136,34443,19155808,19156077,4144662.076923,3851105.928571,6141552.90309,5990356.567949,0.537381,54.646073,69,18984465,1927337.535714,4550236.462974,1488138,8963921.333333,20096341,6855542.500156,1316693,8610002.333333,18984465,6598206.711011,NONTOR
59999418,29999257,29999143,29999257,30000275,30000000,30000000,0,800.444252,0.083334,3.533368,57422,29942739,15000000,17300000,29942739,30000000,29999257,39964.261047,29941721,29900000,29942739,719.834009,NONTOR
59998477,29999187,29998695,29999187,29999782,30000000,30000000,0,768.624421,0.083335,5.800147,54937,29944353,15000000,17300000,29944353,30000000,29999187,38773.493227,29943758,29900000,29944353,420.727346,NONTOR
59979616,90858,37291,15908948,15908848,4284258.285714,4268442.285714,4980057.457352,5065808.093546,0.50017,51.517502,48,15737313,2068262.62069,3995769.430589,1545777,7491228.375,15908948,4577798.339954,1374836,7265224.75,15737313,4607043.339597,NONTOR
