@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {TOR,NONTOR},,,,,,,,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
76,-1,-1,-1,-1,0,0,0,0,26315.7894736842,1052631.57894737,76,76,76,0,-1,0,-1,0,-1,0,-1,0,NONTOR
54,-1,-1,-1,-1,0,0,0,0,37037.037037037,1481481.48148148,54,54,54,0,-1,0,-1,0,-1,0,-1,0,NONTOR
67,-1,-1,-1,-1,0,0,0,0,29850.7462686567,1194029.85074627,67,67,67,0,-1,0,-1,0,-1,0,-1,0,NONTOR
75,-1,-1,-1,-1,0,0,0,0,26666.6666666667,1066666.66666667,75,75,75,0,-1,0,-1,0,-1,0,-1,0,NONTOR
14512571,14512571,-1,14512571,-1,14500000,0,0,0,0.2067173349,8.2686933969,69,14512502,7256285.5,10300000,14512571,14500000,14512571,0,14512502,14500000,14512502,0,NONTOR
41,-1,-1,-1,-1,0,0,0,0,48780.4878048781,1951219.51219512,41,41,41,0,-1,0,-1,0,-1,0,-1,0,NONTOR
71,-1,-1,-1,-1,0,0,0,0,28169.014084507,1126760.56338028,71,71,71,0,-1,0,-1,0,-1,0,-1,0,NONTOR
60,-1,-1,-1,-1,0,0,0,0,33333.3333333333,1333333.33333333,60,60,60,0,-1,0,-1,0,-1,0,-1,0,NONTOR
76,-1,-1,-1,-1,0,0,0,0,26315.7894736842,1052631.57894737,76,76,76,0,-1,0,-1,0,-1,0,-1,0,NONTOR
69,-1,-1,-1,-1,0,0,0,0,28985.5072463768,1159420.28985507,69,69,69,0,-1,0,-1,0,-1,0,-1,0,NONTOR
13302587,13302587,-1,13302587,-1,13300000,0,0,0,0.2255200436,9.0208017433,70,13302517,6651293.5,9406250.48007459,13302587,13300000,13302587,0,13302517,13300000,13302517,0,NONTOR
70,-1,-1,-1,-1,0,0,0,0,28571.4285714286,1142857.14285714,70,70,70,0,-1,0,-1,0,-1,0,-1,0,NONTOR
59005696,16,4,11564793,11548477,398686.986486486,421345.328571429,1421158.88511806,1438391.62173464,4.9147797528,2248.3592092533,4,11514382,204171.958477509,1017107.82906928,1443143,4180902.14285714,14269600,3867463.0537831,1065834,3306945.57142857,11514382,3435845.4933996,NONTOR
