Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,label
10.0.2.15,57188,82.161.239.177,110,6,7248168,21126.0279838988,29.110804275,34515.0857142857,273869.262513304,3897923,5,89483.5555555556,437167.59169525,3898126,29,56614.0390625,349855.109843215,3898131,7,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,5157723,1052.7901556559,3.6837961248,286540.166666667,878838.525555463,3743359,135,644715.375,1272066.0582144,3743562,509,568901.666666667,1209110.28710422,3743573,451,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,41,13243902.4390244,48780.4878048781,41,0,41,41,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9543565,63738.5505311694,83.9309000358,11929.45625,90072.1925232089,2007954,5,31705.2956810631,145580.212189096,2007978,28,19163.2369477912,114109.326285947,2008877,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9987537,199616.582146329,245.8063484521,4069.9009779951,20365.7332289782,608241,5,11743.3447058823,34008.5723187753,608450,31,6230.0892077355,25332.119980876,608241,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,8187417,161429.911289482,197.3760466824,5069.6080495356,27921.4251880994,740503,5,14751.7261261261,46774.3706003451,740503,27,7731.2124645892,34986.1862338036,778531,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,45,12066666.6666667,44444.4444444444,45,0,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,9985157,184043.676028329,223.6319368839,4473.6366487455,50720.5324779462,2080569,0,13001.5065104167,86230.3863583315,2080569,0,6824.8940533151,62654.3591210574,2080801,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,6371440,267953.398289869,327.8693670505,3051.4559386973,18618.7789054754,541474,4,8848.9694444445,31296.7311286184,541474,32,4660.2948061449,23673.3076885484,580582,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,858001,1265.7327905212,4.6619992284,286000.333333333,495294.362206288,857917,37,429000.5,606631.857327407,857954,47,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
