@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING}

@data
117407320,117213970,117407320,0,30,16927994,16927920,80948.874309,129160.968097,20.092444,15055.534868,0,16927606,49791.060221,598378.641039,1447862,8367287.428571,22032556,6017926.824151,1073311,6366893.357143,16927606,4605817.825056,CHAT
82169677,82168720,82169245,68,40,15657759,15657763,684739.333333,662655.201613,2.993805,1387.446126,10,15657718,335386.436735,1469556.981669,1794039,5096893.25,16065906,3986664.024086,1256947,4431215.875,15657718,3980794.29936,CHAT
119973819,119973563,119973632,7,42,10344203,10344145,29652.388285,36093.150421,61.446739,22313.868328,0,10343921,16276.464387,157257.544332,5103522,20900000,43762155,20300000,4297817,7312623.666667,10343921,3023085.733364,VOIP
119987862,119987651,119987616,9,74,128336,130008,23070.111709,28372.574131,78.607951,27048.37761,0,127985,12722.708302,15911.294743,-1,0,-1,0,-1,0,-1,0,VOIP
119999866,119974521,119999866,11,106,186829,188374,21777.912688,26484.190245,83.683427,28614.590286,0,186829,11950.987551,14268.23993,-1,0,-1,0,-1,0,-1,0,VOIP
119988821,119988579,119988612,12,92,133441,133446,21959.842423,26741.388901,82.949394,28384.394243,9,133223,12056.754522,14827.77551,-1,0,-1,0,-1,0,-1,0,VOIP
119994423,119994423,119974909,12,32,135357,135333,23946.202954,29155.50644,76.070202,25965.765092,-372,135126,13147.192177,16776.910523,-1,0,-1,0,-1,0,-1,0,VOIP
119999865,119998751,119999865,0,8,3708389,3707882,24062.312212,30029.996246,74.875084,28749.507343,0,3707882,13357.064225,53720.192213,6079310,24700000,43236095,26300000,2802040,3254961,3707882,640527.020883,VOIP
119983146,119982891,119982913,6,26,998896,998725,24561.492528,29357.208955,74.793838,27384.71285,0,998577,13371.575393,25471.744606,-1,0,-1,0,-1,0,-1,0,VOIP
29318757,29318426,29318757,14,42,485953,525005,26971.873045,31972.472192,68.420363,24466.009934,9,485953,14622.821446,23863.743528,-1,0,-1,0,-1,0,-1,0,VOIP
119775437,119775314,119775203,6,2,15143010,15181762,32914.348447,29846.798654,63.902919,51367.635586,0,15142960,15650.782308,286128.100143,1455910,8925325.692308,21240429,7072524.268961,1097975,5085482.615385,15142960,4803884.225425,EMAIL
42194705,42193394,42156766,18,2,32157464,32196218,84555.8998,39546.684803,37.137361,33056.446301,2,32157464,26944.256066,813670.320649,40584196,40600000,40584196,0,32157464,32200000,32157464,0,EMAIL
119996675,119956335,119956786,4,79,1867628,1867650,31230.495965,38733.221182,57.834936,22665.761364,4,1867369,17293.078974,38592.05485,1200365,2026709.666667,2836976,818423.958552,1192600,1420025,1867369,387429.446171,VOIP
119911778,119911620,119911613,10,191,152363,152272,34847.898867,43588.372592,51.654642,20822.083048,10,152148,19362.470208,25339.699187,-1,0,-1,0,-1,0,-1,0,VOIP
119968508,119968406,119968257,11,77,138134,155442,35088.741152,43800.020811,51.346808,20317.215248,11,137887,19478.569248,25769.758633,-1,0,-1,0,-1,0,-1,0,VOIP
119997365,119997208,119997209,7,43,152309,160870,27693.793676,33221.81866,66.226454,25327.281145,7,152064,15101.606469,22143.382101,-1,0,-1,0,-1,0,-1,0,VOIP
119971620,119933748,119932030,5,70,155625,147055,33012.317093,39924.111185,55.338087,21117.769352,5,146886,18073.458873,25847.768576,-1,0,-1,0,-1,0,-1,0,VOIP
119999889,119961915,119999601,0,0,1942356,1940980,2333.072368,3234.839363,737.634016,586287.400649,0,1940980,1355.701169,11697.072205,10673039,10700000,10673039,0,1940980,1940980,1940980,0,FILE-TRANSFER
119999038,119997839,119999038,0,0,621199,583778,2355.069162,3263.32639,731.064194,581846.256134,0,583778,1367.884527,8575.909732,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
