@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING}

@data
116516054,116474040,116516010,918,502,41460623,41459681,9706170,9709667.5,0.223145,118.035237,40,41459595,4660642.16,10400000,2882883,16600000,41798626,14300000,2551209,16400000,41459595,14300000,CHAT
110542890,110501911,110542850,2880,4140,34532250,34532119,3946496.821429,4421714,0.497544,218.15062,11,34532119,2047090.555556,5805016.795665,1412470,11000000,34872202,9840158.334236,1412427,10700000,34532119,9860560.74879,CHAT
101111380,101110992,101111380,2718,283,21385880,21385877,4814809.142857,4814827.619048,0.435164,227.056539,47,21385830,2351427.44186,5359914.227572,1383632,9158663,21714802,7757388.764512,1383578,8864221.727273,21385830,7606093.079413,CHAT
115531998,115531950,115531952,935,525,28913072,28913070,4621278,4621278.08,0.450092,251.42818,44,28913021,2265333.294118,5481549.534813,1318581,7679811.533333,29294644,8262809.887225,1318537,7497432.333333,28913021,8105854.837268,CHAT
88160003,88159956,88159952,350915,351697,41467426,41467424,6781535.076923,6781534.769231,0.317604,180.55807,43,41467377,3265185.296296,8469401.509906,1243172,11000000,41995078,13400000,1243129,10800000,41467377,13200000,CHAT
60304866,60304570,60304866,318345,319003,59653678,59653011,20100000,20100000,0.132659,41.323365,40,59653011,8614980.857143,22500000,59985863,60000000,59985863,0,59653011,59700000,59653011,0,CHAT
118948557,118910600,118948431,60,52,22741396,22701550,1432657.831325,1416052.75,1.420782,645.758149,12,22701550,708027.125,3088223.119971,1796398,9120077.461538,22974417,7658331.315993,1028116,8625030.307692,22701550,7683090.941656,CHAT
112110785,112110738,112110740,487,386,41177773,41139544,6228374.333333,6594749.411765,0.330031,141.904278,16,41139493,3114188.472222,9815063.267227,2207400,22400000,41388470,17700000,1959933,22200000,41139493,17800000,CHAT
101215870,101215822,101215687,269,365,41062480,41023720,2468678.585366,2663570.710526,0.80027,333.218496,11,41023720,1265198.375,5262680.382829,2002129,14400000,41265753,12600000,1001417,13800000,41023720,12800000,CHAT
119988944,119988944,119728867,448,321,50098384,50058961,8570638.857143,9209912.846154,0.241689,94.442035,11,50058912,4285319.428571,13400000,18906274,39800000,50318038,18100000,18653315,39600000,50058912,18100000,CHAT
118139861,118099142,118139861,39,38,24789460,24789463,715752.375758,703213.458333,2.835622,1399.163657,8,24789417,353712.158683,2083780.665754,2466507,9724065.083333,24789460,7171578.643643,1234911,8463494.083333,24789417,7533640.964166,CHAT
119888703,119888484,119888703,6,28,13182271,13182275,136702.946408,152724.46242,13.87954,7595.152648,0,13182227,72091.823812,398356.761047,1016814,4986635.217391,13743323,3543228.03066,1012984,2229278.130435,13182227,2531178.589212,CHAT
110799354,110799354,110799147,26,41,15222926,15230382,459748.356846,459747.497925,4.368257,2123.008768,9,15222926,229398.248447,1046510.337149,1345257,4729671.304348,17748369,3663128.538649,1019779,3652669.913043,15222926,3284296.388533,CHAT
112236099,112235970,112197460,108,78,29057887,29017940,4489438.8,4315286.923077,0.472219,176.217814,19,29017940,2158386.519231,6041018.311018,6428341,16000000,29556001,8122526.143958,6389702,15600000,29017940,8088470.009845,VOIP
119987630,119987243,119987350,0,0,20235009,20234749,52487.85783,64753.022126,34.511891,13797.855662,0,20234749,28982.519324,442556.601152,4613679,12100000,21070566,6491790.272872,2150706,9257517,20234749,7648527.029849,VOIP
119992431,119992199,119992188,4,56,96722,124940,20119.416331,25513.967255,88.913942,31964.074467,4,96722,11247.884421,13246.474057,-1,0,-1,0,-1,0,-1,0,VOIP
119966444,119966235,119966200,9,52,115412,133771,21372.926243,26772.193707,84.156866,29585.281364,7,109402,11883.748787,14281.615544,-1,0,-1,0,-1,0,-1,0,VOIP
119992391,119992127,119992150,0,57,116162,116128,21196.277513,25732.822217,86.055457,29507.846043,0,115928,11621.53908,13761.232317,-1,0,-1,0,-1,0,-1,0,VOIP
119996567,119996567,119967987,11,213,131167,131202,22425.073257,26892.622058,81.785673,27760.152505,0,130943,12228.326404,14772.355754,-1,0,-1,0,-1,0,-1,0,VOIP
119996774,119996774,119967765,13,128,120163,119977,22450.285126,26959.048315,81.643862,27620.859207,11,119354,12249.568599,14875.984675,-1,0,-1,0,-1,0,-1,0,VOIP
119990604,119990394,119990330,8,101,140809,140842,22837.912828,27937.213038,79.597899,27228.682006,0,140608,12564.461152,15819.552623,-1,0,-1,0,-1,0,-1,0,VOIP
119974477,119974182,119974313,6,32,98309,98190,20610.579282,25311.036498,88.043726,31011.029121,0,98031,11359.068074,13530.491268,-1,0,-1,0,-1,0,-1,0,VOIP
119994405,119994171,119994115,0,237,107860,106931,21419.880578,26074.340504,85.053966,28915.95654,-226,106661,11758.393435,13719.545422,-1,0,-1,0,-1,0,-1,0,VOIP
119999526,119999526,119996790,14,246,99362,99377,21212.573095,25728.299743,86.02534,29325.982504,-403,99110,11625.608022,13483.080566,-1,0,-1,0,-1,0,-1,0,VOIP
119987045,119987045,119964015,12,208,122608,132052,22520.091029,27184.231815,81.200433,27561.533831,-434,122348,12316.469411,15015.063841,-1,0,-1,0,-1,0,-1,0,VOIP
119997876,119997876,119983363,13,77,131471,138977,21652.449657,26208.685671,84.351493,28575.13078,9,119998,11856.326055,14024.578136,-1,0,-1,0,-1,0,-1,0,VOIP
119971333,119971080,119971130,12,118,130337,131553,23322.527216,28578.163411,77.885273,26818.05661,0,129514,12840.772022,16813.651844,-1,0,-1,0,-1,0,-1,0,VOIP
119989187,119989187,119971873,10,0,122127,122073,20977.130594,25979.184279,86.174432,30752.404381,0,121854,11605.492504,14017.292533,-1,0,-1,0,-1,0,-1,0,VOIP
119922770,119922553,119922557,6,31,2071116,2033842,24394.335435,29995.637069,74.347849,27707.607154,0,2033842,13451.796971,30484.227618,106598537,107000000,106598537,0,2033842,2033842,2033842,0,VOIP
119983033,119983033,119981940,3,40,374184,413321,22758.54192,27850.961003,79.861292,29306.302,3,374184,12523.017743,17027.771611,-1,0,-1,0,-1,0,-1,0,VOIP
119982854,119982472,119982614,8,67,123150,131198,21978.83715,27053.577001,82.478451,28873.192165,0,122946,12125.604245,14771.772499,-1,0,-1,0,-1,0,-1,0,VOIP
119976976,119976729,119975189,6,34,122543,122528,22744.403602,27051.902818,80.948865,28102.583616,6,122301,12354.749871,15415.916474,-1,0,-1,0,-1,0,-1,0,VOIP
119961100,119960904,119957609,8,76,121116,121986,22112.609032,26168.762871,83.452052,28215.413163,8,120898,11984.125874,14281.765854,-1,0,-1,0,-1,0,-1,0,VOIP
119995128,119986609,119994897,8,204,137728,137816,24567.28276,29238.522661,74.919708,25396.5561,0,137520,13349.107576,17458.882428,-1,0,-1,0,-1,0,-1,0,VOIP
119986629,119986490,119973688,11,0,172683,135076,22149.988924,26212.298012,83.309283,28244.897188,0,134123,12004.665233,14187.800459,-1,0,-1,0,-1,0,-1,0,VOIP
119993877,119993622,119993713,13,203,134763,134704,23106.801849,27464.800412,79.704067,26995.2691,7,134492,12547.723204,15701.535253,-1,0,-1,0,-1,0,-1,0,VOIP
119973216,119972954,119973008,8,242,94811,97451,22155.670175,26081.088696,83.493636,28199.119043,6,93090,11978.15655,14051.441426,-1,0,-1,0,-1,0,-1,0,VOIP
119993859,119993645,119993631,1,15,129588,129539,24359.245838,28928.06919,75.637204,25765.785231,0,129285,13222.463802,17296.570963,-1,0,-1,0,-1,0,-1,0,VOIP
119994058,119993426,119993822,11,228,104095,98800,21872.662413,25916.592225,84.320842,28578.440109,0,98544,11860.636355,13819.869255,-1,0,-1,0,-1,0,-1,0,VOIP
119982401,119982181,119944854,13,183,126378,126394,22728.2025,26881.410578,81.203576,27489.88162,0,126176,12315.992712,15069.281967,-1,0,-1,0,-1,0,-1,0,VOIP
115756221,115756163,115755937,85,15,24295501,24295890,3617380.09375,4452151.423077,0.518331,257.895427,15,24295501,1961969.847458,5401243.974583,2207693,12900000,24407207,7786193.974841,2094990,12600000,24295501,7788953.788302,CHAT
116559017,116558957,116519170,68,7,39556565,39556823,2119253.763636,2377942.244898,0.909411,475.072641,7,39556565,1110085.87619,4756559.18929,2005243,11500000,39670497,11600000,1692725,11300000,39556565,11600000,CHAT
104255144,104255144,104255048,62,6,21026773,21027257,1681534.580645,2085100.96,1.093471,607.883674,6,21026773,922611.893805,3438523.186407,1980060,8678530.25,21138993,7075870.535815,1627211,8404046.083333,21026773,7211977.823273,CHAT
116004239,116004223,116004091,0,0,28233317,28233514,1171759.828283,1468406.21519,1.551667,945.767163,0,28233317,648068.374302,2982896.405853,1275577,7243206.375,28678575,7648051.138487,1252355,6906073.5625,28233317,7718933.494471,CHAT
89558259,89558259,89557994,63,50,39205355,39205673,1689778.471698,2082744.046512,1.09426,634.447349,21,39205355,923281.020619,4400294.883321,1391990,8949371.9,39317941,11400000,1390700,8611257.4,39205355,11500000,CHAT
60282094,60282094,60281815,247897,247621,59755909,59756241,20100000,20100000,0.132709,41.338975,56,59755909,8611727.714286,22600000,60003806,60000000,60003806,0,59755909,59800000,59755909,0,CHAT
119352724,119350487,119352724,0,2,14870871,14870781,15342.651626,15589.436259,129.339319,104569.393825,0,14870572,7732.10184,194576.532347,2880323,10000000,19656268,6399721.145309,1026065,5361673,14870572,5025639.679173,EMAIL
119650897,119612958,119650897,16,0,12577665,12577601,40907.304378,28159.778065,59.96612,48494.337656,0,12577354,16678.407722,270511.297558,1157706,8484955.692308,24782847,6959072.387081,1017513,4467203.307692,12577354,4551276.646957,EMAIL
117670270,117666443,117670135,0,0,11888784,11889028,17980.813417,17263.810886,113.554596,91385.4876,0,11888662,8806.995734,174406.998534,1795396,8697306.846154,24445798,6880142.220752,1024115,4095194.153846,11888662,3775028.172812,EMAIL
119929531,119929331,119929531,0,0,11384491,11384388,18259.642357,17502.850409,111.915722,89861.161885,0,11384182,8935.960882,133346.643158,1888574,7840624.666667,23797424,6435576.649177,1068773,2807697.933333,11384182,2635392.325604,EMAIL
