@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING},,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
116516054,116474040,116516010,918,502,41460623,41459681,9706170,9709667.5,0.2231452157,118.0352365864,40,41459595,4660642.16,10400000,2882883,16600000,41798626,14300000,2551209,16400000,41459595,14300000,CHAT
110542890,110501911,110542850,2880,4140,34532250,34532119,3946496.82142857,4421714,0.4975444373,218.1506200896,11,34532119,2047090.55555556,5805016.7956645,1412470,11000000,34872202,9840158.33423589,1412427,10700000,34532119,9860560.74879038,CHAT
101111380,101110992,101111380,2718,283,21385880,21385877,4814809.14285714,4814827.61904762,0.4351636779,227.0565390365,47,21385830,2351427.44186047,5359914.22757246,1383632,9158663,21714802,7757388.76451211,1383578,8864221.72727273,21385830,7606093.07941321,CHAT
115531998,115531950,115531952,935,525,28913072,28913070,4621278,4621278.08,0.4500917573,251.428180096,44,28913021,2265333.29411765,5481549.53481295,1318581,7679811.53333333,29294644,8262809.88722525,1318537,7497432.33333333,28913021,8105854.8372684,CHAT
88160003,88159956,88159952,350915,351697,41467426,41467424,6781535.07692308,6781534.76923077,0.3176043449,180.5580700808,43,41467377,3265185.2962963,8469401.50990605,1243172,11000000,41995078,13400000,1243129,10800000,41467377,13200000,CHAT
60304866,60304570,60304866,318345,319003,59653678,59653011,20100000,20100000,0.1326592783,41.3233651825,40,59653011,8614980.85714286,22500000,59985863,60000000,59985863,0,59653011,59700000,59653011,0,CHAT
118948557,118910600,118948431,60,52,22741396,22701550,1432657.8313253,1416052.75,1.420782263,645.7581490459,12,22701550,708027.125,3088223.11997092,1796398,9120077.46153846,22974417,7658331.31599285,1028116,8625030.30769231,22701550,7683090.94165582,CHAT
112110785,112110738,112110740,487,386,41177773,41139544,6228374.33333333,6594749.41176471,0.3300306924,141.9042779872,16,41139493,3114188.47222222,9815063.26722693,2207400,22400000,41388470,17700000,1959933,22200000,41139493,17800000,CHAT
101215870,101215822,101215687,269,365,41062480,41023720,2468678.58536585,2663570.71052632,0.8002697601,333.2184962694,11,41023720,1265198.375,5262680.382829,2002129,14400000,41265753,12600000,1001417,13800000,41023720,12800000,CHAT
119988944,119988944,119728867,448,321,50098384,50058961,8570638.85714286,9209912.84615385,0.2416889343,94.4420345928,11,50058912,4285319.42857143,13400000,18906274,39800000,50318038,18100000,18653315,39600000,50058912,18100000,CHAT
117407320,117213970,117407320,0,30,16927994,16927920,80948.8743093923,129160.96809681,20.0924439805,15055.534867843,0,16927606,49791.0602205259,598378.64103875,1447862,8367287.42857143,22032556,6017926.82415113,1073311,6366893.35714286,16927606,4605817.82505625,CHAT
118139861,118099142,118139861,39,38,24789460,24789463,715752.375757576,703213.458333333,2.8356220937,1399.1636573874,8,24789417,353712.158682635,2083780.66575436,2466507,9724065.08333333,24789460,7171578.64364291,1234911,8463494.08333333,24789417,7533640.96416576,CHAT
119888703,119888484,119888703,6,28,13182271,13182275,136702.94640821,152724.462420382,13.8795395927,7595.1526475351,0,13182227,72091.8238123873,398356.761046556,1016814,4986635.2173913,13743323,3543228.03066026,1012984,2229278.13043478,13182227,2531178.58921197,CHAT
110799354,110799354,110799147,26,41,15222926,15230382,459748.356846473,459747.497925311,4.3682565153,2123.0087677226,9,15222926,229398.248447205,1046510.33714926,1345257,4729671.30434783,17748369,3663128.53864856,1019779,3652669.91304348,15222926,3284296.38853327,CHAT
82169677,82168720,82169245,68,40,15657759,15657763,684739.333333333,662655.201612903,2.9938051235,1387.4461256553,10,15657718,335386.436734694,1469556.98166906,1794039,5096893.25,16065906,3986664.0240858,1256947,4431215.875,15657718,3980794.29935979,CHAT
112236099,112235970,112197460,108,78,29057887,29017940,4489438.8,4315286.92307692,0.4722188358,176.2178138426,19,29017940,2158386.51923077,6041018.31101849,6428341,16000000,29556001,8122526.14395849,6389702,15600000,29017940,8088470.00984472,VOIP
119987630,119987243,119987350,0,0,20235009,20234749,52487.8578302712,64753.0221262817,34.5118909341,13797.8556622879,0,20234749,28982.5193236715,442556.601152131,4613679,12100000,21070566,6491790.27287235,2150706,9257517,20234749,7648527.02984904,VOIP
119992431,119992199,119992188,4,56,96722,124940,20119.4163313213,25513.9672549437,88.9139415802,31964.0744673304,4,96722,11247.8844206974,13246.4740574987,-1,0,-1,0,-1,0,-1,0,VOIP
119966444,119966235,119966200,9,52,115412,133771,21372.926242651,26772.1937067619,84.1568663984,29585.2813641788,7,109402,11883.748786528,14281.6155435017,-1,0,-1,0,-1,0,-1,0,VOIP
119973819,119973563,119973632,7,42,10344203,10344145,29652.3882847257,36093.1504211793,61.4467394757,22313.8683282225,0,10343921,16276.4643874644,157257.544331786,5103522,20900000,43762155,20300000,4297817,7312623.66666667,10343921,3023085.73336398,VOIP
119987862,119987651,119987616,9,74,128336,130008,23070.1117092867,28372.5741310002,78.6079511943,27048.3776100619,0,127985,12722.708302407,15911.2947431885,-1,0,-1,0,-1,0,-1,0,VOIP
119992391,119992127,119992150,0,57,116162,116128,21196.2775128069,25732.8222174566,86.0554566331,29507.8460433379,0,115928,11621.5390799032,13761.2323166837,-1,0,-1,0,-1,0,-1,0,VOIP
119999866,119974521,119999866,11,106,186829,188374,21777.9126883282,26484.190244979,83.6834267798,28614.5902862925,0,186829,11950.9875510407,14268.2399297905,-1,0,-1,0,-1,0,-1,0,VOIP
119996567,119996567,119967987,11,213,131167,131202,22425.0732573351,26892.6220578346,81.7856730851,27760.1525050296,0,130943,12228.3264037501,14772.3557537634,-1,0,-1,0,-1,0,-1,0,VOIP
119996774,119996774,119967765,13,128,120163,119977,22450.2851262862,26959.0483146067,81.6438615258,27620.8592074317,11,119354,12249.5685994283,14875.9846746911,-1,0,-1,0,-1,0,-1,0,VOIP
119990604,119990394,119990330,8,101,140809,140842,22837.9128283213,27937.2130384168,79.5978991822,27228.6820058011,0,140608,12564.4611518325,15819.5526234533,-1,0,-1,0,-1,0,-1,0,VOIP
119974477,119974182,119974313,6,32,98309,98190,20610.5792819103,25311.0364978903,88.0437261669,31011.0291208021,0,98031,11359.0680742284,13530.4912677444,-1,0,-1,0,-1,0,-1,0,VOIP
119988821,119988579,119988612,12,92,133441,133446,21959.8424231332,26741.3889012703,82.949394094,28384.3942428603,9,133223,12056.7545217042,14827.7755100099,-1,0,-1,0,-1,0,-1,0,VOIP
119994405,119994171,119994115,0,237,107860,106931,21419.8805783649,26074.3405041286,85.0539656411,28915.956539807,-226,106661,11758.3934345909,13719.5454222912,-1,0,-1,0,-1,0,-1,0,VOIP
119994423,119994423,119974909,12,32,135357,135333,23946.2029535023,29155.5064398542,76.0702020293,25965.765092266,-372,135126,13147.1921770571,16776.9105228282,-1,0,-1,0,-1,0,-1,0,VOIP
