@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,,,,,,,,,
,,,,,,,,,,,,
@attribute min_fiat numeric,,,,,,,,,,,,
@attribute min_biat numeric,,,,,,,,,,,,
@attribute max_fiat numeric,,,,,,,,,,,,
@attribute max_biat numeric,,,,,,,,,,,,
@attribute mean_fiat numeric,,,,,,,,,,,,
@attribute mean_biat numeric,,,,,,,,,,,,
@attribute flowPktsPerSecond numeric,,,,,,,,,,,,
@attribute flowBytesPerSecond numeric,,,,,,,,,,,,
@attribute min_flowiat numeric,,,,,,,,,,,,
@attribute max_flowiat numeric,,,,,,,,,,,,
@attribute mean_flowiat numeric,,,,,,,,,,,,
@attribute std_flowiat numeric,,,,,,,,,,,,
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING},,,,,
,,,,,,,,,,,,
@data,,,,,,,,,,,,
,,,,,,,,,,,,
14674,14204,2000354,1959996,735800,735806,3.62407,1594.590713,45,1959933,315351.857143,728474.729798,CHAT
0,0,115266,115210,8766.40246,4520.930816,335.39836,297247.013641,0,115203,2982.123356,9079.001676,VIDEO-STREAMING
112656,112686,6553509,6553833,1812577.25,1812498.75,1.379252,500.530391,30,6553509,805589.888889,2159056.104584,CHAT
0,7,1624147,1624060,21037.8331,29394.870334,81.600136,55546.492577,0,1623923,12264.901881,70207.719672,VOIP
1879,2221,7357859,7358010,2466349.666667,2466351.666667,0.946064,294.69898,41,7357568,1138319.307692,2515361.481871,VOIP
351,335,5424351,5424668,608582.090909,580478.913043,3.510395,1305.717627,30,5424351,291061,930933.715477,CHAT
0,0,152302,190031,11421.506474,6251.173406,247.656499,211234.256242,0,152240,4038.938325,13337.542833,VIDEO-STREAMING
0,0,255137,255390,10886.779476,5720.598777,266.709753,232012.036872,0,255086,3750.333417,12742.049608,VIDEO-STREAMING
12880,11999,193560,233868,103220,122933.5,24.398972,9690.458375,45,193560,49182.4,82270.357596,CHAT
8,60,133691,109034,20738.904564,26136.938918,86.566644,35561.017213,8,95714,11560.700077,15388.270347,VOIP
0,0,130907,131892,6580.273753,3304.866388,454.733242,413602.037754,0,130853,2199.527987,7847.415664,VIDEO-STREAMING
522,426,5021387,5021350,479592.096774,464594.8125,4.371995,1414.710283,28,5021315,232302.421875,727266.204126,CHAT
38,0,249158,232687,6544.144852,3167.692925,468.620151,407487.388624,0,232687,2134.228088,6070.08959,P2P
604,357,7263483,7263490,535228.392857,516772.172414,3.936833,1316.904149,15,7263435,258390.758621,1081887.105728,CHAT
33,37,1383713,1371630,209919.794872,181074.422222,10.504623,4646.341118,10,1371630,96316.141176,219604.176459,EMAIL
