@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,,,,,,,,
,,,,,,,,,,,
@attribute total_fiat numeric,,,,,,,,,,,
@attribute min_fiat numeric,,,,,,,,,,,
@attribute min_biat numeric,,,,,,,,,,,
@attribute max_fiat numeric,,,,,,,,,,,
@attribute mean_fiat numeric,,,,,,,,,,,
@attribute mean_biat numeric,,,,,,,,,,,
@attribute flowBytesPerSecond numeric,,,,,,,,,,,
@attribute min_flowiat numeric,,,,,,,,,,,
@attribute max_flowiat numeric,,,,,,,,,,,
@attribute mean_flowiat numeric,,,,,,,,,,,
@attribute min_active numeric,,,,,,,,,,,
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING},,,,
,,,,,,,,,,,
@data,,,,,,,,,,,
2207400,14674,14204,2000354,735800,735806,1594.590713,45,1959933,315351.857143,2207400,CHAT
14964249,0,0,115266,8766.40246,4520.930816,297247.013641,0,115203,2982.123356,-1,VIDEO-STREAMING
7250309,112656,112686,6553509,1812577.25,1812498.75,500.530391,30,6553509,805589.888889,6817532,CHAT
14999975,0,7,1624147,21037.8331,29394.870334,55546.492577,0,1623923,12264.901881,3249302,VOIP
14798098,1879,2221,7357859,2466349.666667,2466351.666667,294.69898,41,7357568,1138319.307692,1030457,VOIP
13388806,351,335,5424351,608582.090909,580478.913043,1305.717627,30,5424351,291061,1532015,CHAT
14996438,0,0,152302,11421.506474,6251.173406,211234.256242,0,152240,4038.938325,-1,VIDEO-STREAMING
14958435,0,0,255137,10886.779476,5720.598777,232012.036872,0,255086,3750.333417,-1,VIDEO-STREAMING
206440,12880,11999,193560,103220,122933.5,9690.458375,45,193560,49182.4,-1,CHAT
14994228,8,60,133691,20738.904564,26136.938918,35561.017213,8,95714,11560.700077,-1,VOIP
11081181,0,0,130907,6580.273753,3304.866388,413602.037754,0,130853,2199.527987,-1,VIDEO-STREAMING
14867355,522,426,5021387,479592.096774,464594.8125,1414.710283,28,5021315,232302.421875,1454433,CHAT
14999180,38,0,249158,6544.144852,3167.692925,407487.388624,0,232687,2134.228088,-1,P2P
14986395,604,357,7263483,535228.392857,516772.172414,1316.904149,15,7263435,258390.758621,1034312,CHAT
8186872,33,37,1383713,209919.794872,181074.422222,4646.341118,10,1371630,96316.141176,7750304,EMAIL
14992784,209,24,72531,29985.568,23988.8656,27233.3824,10,72312,13315.53286,-1,VOIP
14994798,7,11,92801,18375.977941,23211.481424,39430.398888,7,92801,10249.524949,-1,VOIP
14946421,0,0,278842,10653.186743,5673.587945,229723.289408,0,278795,3702.85428,-1,VIDEO-STREAMING
13075323,223185,222846,12852138,6537661.5,6537494.5,142.94102,46,12852092,2615064.6,13075277,CHAT
14886303,95,212,2391091,167261.831461,154665.083333,4600.940878,18,2391041,80033.887097,1967555,CHAT
14370736,16,0,9708576,33112.294931,17654.96683,74136.343922,0,9708576,11506.119295,13699771,VIDEO-STREAMING
14932516,0,0,377153,6122.392784,8267.479316,219955.980877,0,376924,3524.321655,-1,FILE-TRANSFER
10251213,45,78,5847958,465964.227273,445727.913043,2047.69022,9,5847917,222870.413043,3635302,VIDEO-STREAMING
1826048,233102,231177,1592946,913024,913024.5,1023.494371,48,1592946,365219.4,1592995,CHAT
14919989,0,4,163408,5634.436934,7737.724585,235513.2905,0,150838,3267.869128,-1,FILE-TRANSFER
14987906,29,0,1460661,14126.207352,7123.657957,180331.770621,0,1460608,4734.859488,2424888,P2P
14552116,40,42,7997798,501797.103448,428006.205882,1798.529264,13,7997798,227381.96875,3458455,EMAIL
14785744,85,7,8419383,528062.285714,547627.111111,1528.14175,7,8419270,264034.5,3015844,CHAT
3863501,68,44,3180343,429277.888889,551860.285714,2759.155491,17,3180290,227264.764706,3750720,CHAT
14388391,65206,65197,3538316,846375.941176,846357.235294,922.271295,43,3538316,411096.885714,1188768,CHAT
13023280,4,5,3330517,9597.111275,13223.709776,140158.853991,4,3330464,5565.504274,12589759,EMAIL
14517193,436,794,13546473,3629298.25,3619352.75,214.573162,44,13546159,1613021.444444,13728700,P2P
6434022,222,351,1497389,257360.88,220529.034483,3594.485689,40,1482083,116982.218182,5997666,EMAIL
