@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING}

@data
10345300,10345257,10345174,60,52,5871778,5870638,517262.85,470235.181818,4.253139,2260.446773,13,5870638,240588.372093,1022684.725169,4092108,4981436,5870764,1257699.718998,3435979,4653308.5,5870638,1721563.888777,CHAT
14966353,14966200,14966053,7,0,635321,635242,10502.596491,5615.779737,273.413302,227450.334761,0,635042,3658.360548,21347.575136,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
272867,233627,272820,20303,19353,213324,253467,116813.5,136410,21.988734,8733.192361,47,213324,54573.4,90181.737154,-1,0,-1,0,-1,0,-1,0,CHAT
14999391,14998887,14999391,0,0,149034,146556,9062.771601,4758.690038,320.613017,277900.949445,0,146556,3119.673669,9995.782325,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
7190597,7189947,7190597,116,492,6555090,6594711,898743.375,898824.625,2.503269,1137.179569,12,6555090,422976.294118,1582350.334415,7051063,7051063,7051063,0,6555090,6555090,6555090,0,CHAT
14990289,14990249,14990288,0,0,335322,335264,10482.691608,5736.811328,269.841362,223305.434605,0,335264,3706.797478,13031.178632,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
4894345,4894050,4894345,8600,354,1857545,1857548,444913.636364,407862.083333,5.107936,2363.952684,24,1857504,203931.041667,463960.729471,1796398,2139641,2482884,485418.905789,1438583,1648043.5,1857504,296221.87988,CHAT
13843963,13842978,13843963,9,0,2192110,2192320,16077.790941,8943.128553,174.155334,145403.523543,0,2191964,5744.382988,52777.397534,11840857,11800000,11840857,0,2191964,2191964,2191964,0,VIDEO-STREAMING
3334635,3334345,3334447,123,61,1028396,1028363,123494.259259,133377.88,16.193676,6876.614682,16,1028116,62917.641509,160897.891051,2322320,2322320,2322320,0,1028116,1028116,1028116,0,CHAT
14997888,14997526,14997032,0,0,132108,131547,5902.214089,3006.622294,502.137368,438405.460822,0,131252,1991.751394,7511.20077,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
8959011,8920202,8959011,83,57,6093327,6092759,892020.2,895901.1,2.455628,933.80843,15,6092759,426619.571429,1362168.145511,1895443,4285730.5,6676018,3380377.000471,1894923,3993841,6092759,2968318.301909,CHAT
14989818,14989753,14989818,0,0,92205,92167,5415.373194,2768.714075,545.970605,482524.137384,0,92155,1831.82427,6492.572219,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14998525,14998483,14998518,0,0,129551,129362,7586.48609,3898.756953,388.438196,341171.215169,0,129362,2574.854077,8572.744123,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14962939,14962891,14962650,0,0,902751,902507,18158.848301,11116.381872,145.158648,106701.698109,0,902074,6892.187471,32998.870764,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
8982978,8944191,8982978,487,386,8249991,8211318,894419.1,998108.666667,2.337755,987.31178,16,8211260,449148.9,1828308.862142,8734001,8734001,8734001,0,8211260,8211260,8211260,0,CHAT
14968099,14967029,14919654,0,0,318880,318588,16798.012346,9828.494071,161.075899,126278.560825,0,318588,6210.829461,24161.977071,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
240234,203515,240183,15157,14814,188358,225369,101757.5,120091.5,24.975649,9919.495159,51,188358,48046.8,79849.997861,-1,0,-1,0,-1,0,-1,0,CHAT
14979601,14979554,14979596,0,0,764149,763267,9784.163292,5003.205077,302.210987,266804.569761,0,763267,3309.67764,17053.234186,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14633355,14633355,14632000,6,34,1707112,1707109,41809.585714,47661.237785,45.034102,26701.668893,5,1707073,22239.141337,85961.495803,2006278,2006278,2006278,0,1707073,1707073,1707073,0,VOIP
47,0,0,-1,-1,-1,-1,0,0,42553.191489,24200000,47,47,47,0,-1,0,-1,0,-1,0,-1,0,CHAT
14714514,14714456,14714514,0,0,127709,127543,8220.36648,4247.838915,357.198342,314780.834759,0,127543,2800.097812,10108.4011,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14944686,14944446,14944686,12,0,241672,280953,13051.917904,7601.569685,208.301466,167744.240327,0,241630,4802.276992,16888.511797,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
9224162,9224104,9224131,467,112424,8778285,8778937,2306026,3074710.333333,0.975698,441.666137,31,8778285,1153020.25,3083272.946152,8778343,8778343,8778343,0,8778285,8778285,8778285,0,CHAT
14660517,14660517,14618019,333,613,7663754,7663955,1628946.333333,1827252.375,1.295998,455.304543,36,7663347,814473.166667,2116240.745638,6381394,7023854.5,7666315,908576.352388,5314745,6489046,7663347,1660712.400508,VOIP
14832948,14832905,14792242,7,12,788476,825018,43244.620991,43506.594118,46.180975,25954.179843,0,788476,21685.596491,69150.61424,-1,0,-1,0,-1,0,-1,0,VOIP
14513236,14475441,14513053,4194,3900,11068604,11068235,761865.315789,853709,2.6183,1065.510132,11,11068235,392249.621622,1814236.562978,2002129,6819042,11635955,6812143.693371,1001417,6034826,11068235,7118315.272771,CHAT
14984163,14984114,14983922,-18,0,136249,176164,8380.376957,4281.120571,353.039406,311081.506521,-68,136189,2833.080545,10330.604841,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
6879553,6879502,6879499,257,64829,4101353,4101332,859937.75,982785.571429,2.471091,879.708318,29,4101299,429972.0625,1106730.653405,2207693,3383923.5,4560154,1663441.125577,2094990,3098144.5,4101299,1418674.699055,CHAT
13932812,13932390,13932812,93,244,8119562,8081967,324009.069767,284343.102041,6.746664,2661.200051,27,8081967,149815.182796,849049.374693,1506874,6966222,12425570,7720683.983314,1469335,4775651,8081967,4675836.928691,VOIP
14911602,14911602,14911195,194693,194699,14178405,14177996,4970534,4970398.333333,0.536495,201.587998,40,14177996,2130228.857143,5316300.01017,14911239,14900000,14911239,0,14177996,14200000,14177996,0,CHAT
14998823,14998782,14998812,0,0,99226,131591,8473.888136,4398.478592,345.493776,303375.604872,0,98913,2894.966802,9720.718526,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
8218101,8218101,8217859,64958,64956,3119525,3119860,1174014.428571,1173979.857143,1.946922,794.10073,30,3119525,547873.4,1061884.19593,3661769,3788129,3914489,178700.025739,3069913,3094719,3119525,35080.981614,CHAT
14952839,14952788,14952830,0,0,280572,280508,12078.180937,6492.761615,236.944971,202567.485679,0,280500,4221.580745,15077.131281,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
616,563,281,85,15,210,266,140.75,140.5,12987.012987,10600000,15,164,88,46.617236,-1,0,-1,0,-1,0,-1,0,CHAT
14997819,14997455,14997589,1,0,498940,501071,19129.406888,21183.035311,99.614484,51734.388847,0,498940,10045.424648,25677.849285,-1,0,-1,0,-1,0,-1,0,VOIP
13707501,13669174,13707453,699,365,13464769,13480493,3417293.5,4569151,0.656575,261.827448,48,13464769,1713437.625,4748684.837778,13465468,13500000,13465468,0,13464769,13500000,13464769,0,CHAT
14963667,14962878,14963667,0,-126,141842,141624,10227.5311,5327.044144,285.625175,250728.581437,-132,141624,3501.911304,11376.287251,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14998719,14998667,14998161,0,0,168103,168184,11581.982239,6241.43196,246.687734,212218.723479,0,167876,4054.803731,14066.25727,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
350630,350630,350298,112384,112403,238246,237895,175315,175149,17.112055,5330.405271,45,237895,70126,105624.205388,-1,0,-1,0,-1,0,-1,0,CHAT
8914324,8913808,8914062,484,699,5196527,5196543,810346.181818,810369.272727,2.692296,953.970262,38,5196489,387579.304348,1120297.213624,3716369,4456456,5196543,1046641.072736,1657369,3426929,5196489,2502535.751433,VOIP
14980731,14980546,14980501,7,59,65249,89926,18426.255843,23443.663537,97.058014,39258.765143,7,57123,10310.207158,12528.076902,-1,0,-1,0,-1,0,-1,0,VOIP
9630557,9630076,9630557,269,596,8608117,8607274,802506.333333,802546.416667,2.69974,1211.560245,18,8607274,385222.28,1714494.380016,9001046,9001046,9001046,0,8607274,8607274,8607274,0,CHAT
14991530,14991229,14991530,1,0,155583,158480,10388.932086,5323.696733,284.22716,250694.892383,0,155361,3519.138498,12028.933286,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14802135,14802135,14762943,101,154,2548324,2548648,178338.975904,171662.127907,11.552388,4186.220434,16,2548324,87071.382353,265451.5355,1713405,2333442.5,2953480,876865.441679,1003472,1775898,2548324,1092375.325129,CHAT
7984685,7984685,7984308,117,134,7869184,7869066,1140669.285714,1596861.6,1.753357,1118.26578,37,7869066,614206.538462,2180043.187584,7870109,7870109,7870109,0,7869066,7869066,7869066,0,CHAT
14938868,14938550,14938476,127,223,2709534,2709532,216500.724638,201871.297297,9.706224,3735.624413,12,2709488,103742.138889,310534.185586,1113247,2070967.666667,3317666,1130264.062405,1112855,1868095.666667,2709488,801795.370668,VOIP
14981500,14981295,14981232,7,32,88208,88396,18336.958384,22528.168421,99.055502,40642.525782,6,88007,10102.157788,12627.378985,-1,0,-1,0,-1,0,-1,0,VOIP
14963359,14963266,14963359,0,0,105128,105638,6728.08723,3457.338031,438.003258,383328.168495,0,104807,2283.436441,8572.894154,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14886743,14886698,14848201,104,324,6636841,6598178,391755.210526,390742.131579,5.239561,1772.180792,31,6598178,193334.324675,789645.18023,5326697,7424100.5,9521504,2966176.475469,1835954,4217066,6598178,3367400.883929,CHAT
14957195,14957195,14956662,10,0,1599383,1597271,31959.818376,18284.427873,86.112403,67388.170041,0,1597271,11621.752137,63470.056478,4553508,5940781.5,7328055,1961900.998421,1002943,1300107,1597271,420253.359048,P2P
10895689,10895689,10895341,73,7,10446014,10445992,1210632.111111,1556477.285714,1.65203,978.368601,7,10445957,640922.882353,2527481.19903,10783265,10800000,10783265,0,10445957,10400000,10445957,0,CHAT
14357271,14316892,14357271,2061,2303,6053569,6053822,1590765.777778,1595252.333333,1.393022,469.727151,37,6053364,755645.842105,1674431.68567,1321379,3589203.25,6055667,2454646.693854,1321326,3369601.75,6053364,2278586.744214,VOIP
14989052,14989052,14984397,6,9,78918,79100,18301.650794,23267.697205,97.738002,40342.911613,0,78918,10238.423497,12561.832201,-1,0,-1,0,-1,0,-1,0,VOIP
14947564,14947237,14874279,0,0,277311,277368,5197.231224,2587.281092,577.150899,505428.175454,0,277262,1732.849988,8958.22771,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
12299751,12299751,12299431,1640,1901,2763872,2763853,768734.4375,768714.4375,2.764284,902.863806,27,2763820,372719.727273,696095.891797,1555658,2837198.25,5664308,1944365.20893,1553757,2016446.75,2763820,581019.647628,CHAT
14990244,14990055,14990147,44,0,2268423,2267914,8725.293946,4170.881191,354.497232,310728.297685,0,2267914,2821.427442,32204.513865,4227662,4227662,4227662,0,2267914,2267914,2267914,0,P2P
14419600,14382806,14419559,83002,119739,13367603,13368080,3595701.5,3604889.75,0.693501,216.02541,41,13367603,1602177.777778,4419716.549689,13487399,13500000,13487399,0,13367603,13400000,13367603,0,VOIP
377542,377491,377493,17798,16987,190512,207854,125830.333333,125831,21.189695,7962.028066,49,169181,53934.571429,74468.223347,-1,0,-1,0,-1,0,-1,0,CHAT
14982682,14982609,14982682,0,0,131781,131494,5488.135165,2821.066089,536.819776,471673.496107,0,131494,1863.054215,6696.381116,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
13166837,13166789,13166797,608,467,5833056,5833048,598490.409091,548616.541667,3.645522,1176.820219,29,5833000,280145.468085,906710.300858,1157585,3201111.75,5833048,2035709.489883,1147590,2487142,5833000,2252032.375647,CHAT
14979090,14978023,14979090,0,0,177393,176919,12388.770058,6639.667553,231.455983,197544.243342,0,176919,4321.722447,14433.811478,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14994324,14993828,14994324,58,0,170883,171251,6687.702052,3089.065513,473.379127,417323.848678,0,170825,2112.769339,6339.963538,-1,0,-1,0,-1,0,-1,0,P2P
8271228,8271173,8230321,368,305,7658419,7659814,1654234.6,2057580.25,1.329911,505.729016,25,7658177,827122.8,2406711.679364,7660650,7660650,7660650,0,7658177,7658177,7658177,0,VOIP
14979671,14979671,14957485,7,16,123228,126044,19762.098945,25308.773266,90.188897,34585.939838,7,123228,11096.052593,13586.601554,-1,0,-1,0,-1,0,-1,0,VOIP
252959,211247,252918,8196,7932,203051,244986,105623.5,126459,23.719259,9420.498974,41,203051,50591.8,86940.951861,-1,0,-1,0,-1,0,-1,0,CHAT
14977968,14977321,14977968,10,0,167930,167886,10713.391273,5492.470847,275.538044,234421.985679,0,167880,3630.142511,15299.861698,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14968992,14968947,14968982,104,0,189752,180880,8104.465079,3886.028557,380.853968,333487.785951,0,180880,2626.138947,7258.340386,-1,0,-1,0,-1,0,-1,0,P2P
12640165,12640165,12639714,197,147,12113742,12113743,1149105.909091,1404412.666667,1.740484,944.212358,30,12113700,601912.619048,2638461.563661,12527525,12500000,12527525,0,12113700,12100000,12113700,0,CHAT
14959370,14958947,14959370,147,181,3607307,3646365,383562.74359,393667.631579,5.280971,2176.629096,24,3607256,191786.794872,538814.644083,1116865,2795674,6092856,1980322.673481,1116816,1919846.4,3607256,1017122.501685,VOIP
14980086,14979980,14979857,15,67,74815,74804,18539.579208,23188.633127,97.195704,38676.146452,0,74632,10295.591753,12530.731641,-1,0,-1,0,-1,0,-1,0,VOIP
13021397,12982273,13021347,87,59,7446234,7445403,370922.085714,372038.485714,5.529361,2467.937964,11,7445403,183399.957746,888564.163116,9283543,9283543,9283543,0,7445403,7445403,7445403,0,CHAT
14621726,14621566,14621441,35,7,7260200,7260413,384778.052632,292428.82,6.155224,3438.855303,5,7260057,164289.05618,910357.827716,5169232,7145237.5,9121243,2794493.777424,4703803,5981930,7260057,1807544.537835,VIDEO-STREAMING
14763431,14763189,14763180,104,626,5820734,5820754,421805.4,447369.090909,4.741445,1788.337684,30,5820491,213962.768116,760657.311909,3292704,7380770.5,11468837,5781399.088183,2261726,4041108.5,5820491,2516426.864149,CHAT
13877743,13877743,13877463,235161,234803,12592895,12593244,3469435.75,3469365.75,0.720578,224.46013,49,12592895,1541971.444444,4150223.537759,13642582,13600000,13642582,0,12592895,12600000,12592895,0,CHAT
14981021,14907075,14981021,76,15,5522154,5561354,41639.874302,34758.74942,52.80014,18998.705095,12,5522154,18963.317722,197185.37814,5560682,5560682,5560682,0,5522154,5522154,5522154,0,VOIP
14990545,14990317,14990345,13,46,96867,85522,19193.747759,24574.336066,92.925241,36577.255864,8,73899,10769.069684,12743.208627,-1,0,-1,0,-1,0,-1,0,VOIP
202532,202532,202179,202532,202179,202532,202179,202532,202179,19.749965,6152.114234,45,202179,67510.666667,116626.271885,-1,0,-1,0,-1,0,-1,0,CHAT
14761473,14722030,14761473,92,55,6538198,6499182,507656.206897,509016.310345,4.064635,1887.006805,13,6499143,250194.457627,1049773.018235,5394488,6136121.5,6877755,1048828.15401,4964451,5731797,6499143,1085191.120232,CHAT
13155542,13116889,13155542,1277,1768,7390202,7432013,1873841.285714,1644442.75,1.292231,462.238652,39,7390202,822221.375,2136822.177611,4984895,6410860.5,7836826,2016619.749576,4946688,6168445,7390202,1727825.319324,VIDEO-STREAMING
14994053,14957029,14994048,15,2,240613,280904,17351.541763,9870.999342,158.929677,131515.14137,0,240571,6294.732578,19965.490473,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14978693,14974238,14978491,81,0,170540,170470,9147.365913,4398.969457,336.745002,295844.437162,0,170444,2970.194924,8687.506506,-1,0,-1,0,-1,0,-1,0,P2P
14872850,14872552,14872850,74,42,11186036,11146443,381347.487179,362752.439024,5.513402,2779.023523,10,11146443,183615.432099,1236423.464653,14291424,14300000,14291424,0,11146443,11100000,11146443,0,CHAT
2121874,2121874,2084317,2431,2163,792202,789550,265234.25,189483.363636,9.896912,3466.746847,43,789550,106093.7,197650.690339,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14982740,14982576,14982569,89,291,2980630,3018646,288126.461538,293775.862745,7.008064,2750.031036,19,2980630,144064.807692,399389.926821,1563991,3092564.5,4430409,1208728.212716,1068566,1797710.5,2980630,851111.525202,CHAT
14816594,14816134,14816327,167,0,184157,182504,11503.209627,5299.115522,275.771881,242828.142554,0,182269,3627.073195,9859.111473,-1,0,-1,0,-1,0,-1,0,P2P
2155575,2155575,2155193,98,7,1692775,1692781,269446.875,359198.833333,7.422613,4431.300233,7,1692725,143705,433974.995207,2041643,2041643,2041643,0,1692725,1692725,1692725,0,CHAT
10993126,10993126,10992786,225865,225517,10767261,10767269,5496563,5496393,0.545796,170.015335,57,10767204,2198625.2,4790975.269507,10993069,11000000,10993069,0,10767204,10800000,10767204,0,CHAT
5906824,5906824,5867814,113,227,1598290,1588416,281277.333333,234712.56,8.126194,3406.399107,15,1588416,125677.106383,275156.448958,5472939,5472939,5472939,0,1588416,1588416,1588416,0,EMAIL
14984553,14981132,14983819,95,14,73994,74315,33893.963801,27442.891941,66.068037,23971.018688,9,73783,15151.21638,17554.248737,-1,0,-1,0,-1,0,-1,0,VOIP
14964686,14964430,14964490,7,13,109471,92835,21377.757143,27158.784029,83.730457,32237.161542,0,87520,11952.624601,14630.893928,-1,0,-1,0,-1,0,-1,0,VOIP
14066508,14028114,14066457,212,158,5396927,5356705,400803.257143,426256.272727,4.976359,2276.82663,0,5356705,203862.434783,816621.932787,1552737,4002337.666667,6023080,2265818.006143,1073311,3549623.666667,5356705,2218731.388191,CHAT
6133370,6133189,6133113,744,393,4595167,4595797,766648.625,681457,3.097808,1009.233097,39,4595005,340742.777778,1074028.317397,4931171,4931171,4931171,0,4595005,4595005,4595005,0,VIDEO-STREAMING
14827476,14827158,14827476,135,581,9323811,9324125,780376.736842,823748.666667,2.630252,941.630255,32,9323811,390196.736842,1526150.31556,3729206,7413606.5,11098007,5210529.156314,1777343,5550577,9323811,5336158.696807,CHAT
14932570,14932513,14932559,0,0,107100,107047,7951.284878,4182.789636,364.974013,312790.430582,0,107042,2740.423931,9130.019002,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
10102349,10102349,10064051,214,307,2738693,2738922,252558.725,182982.745455,9.601727,3546.699881,32,2738693,105232.802083,297953.966087,4340268,4340268,4340268,0,2738693,2738693,2738693,0,FILE-TRANSFER
14987782,14950096,14987782,42,3,1403742,1442277,19117.769821,9873.374177,153.591772,130267.307064,0,1403693,6513.594959,40166.805038,3461413,4010326.5,4559240,776280.916269,1086578,1245135.5,1403693,224234.166914,P2P
8685049,8685049,8645000,68,122,2559864,2559839,394774.954545,392954.545455,5.296458,2530.901092,29,2559809,193001.088889,553005.862763,2005243,2319578.333333,2899142,502517.071503,1943476,2169402,2559809,339495.347895,CHAT
14698957,14698689,14698631,93,96,1877736,1915559,136098.972222,104990.221429,17.008009,6586.453719,26,1877681,59031.955823,148421.627571,13902388,13900000,13902388,0,1877681,1877681,1877681,0,EMAIL
14987070,14986819,14963076,111,37,70447,68332,34691.710648,26719.778571,66.323838,24662.192143,12,68067,15092.719033,17378.804606,-1,0,-1,0,-1,0,-1,0,VOIP
2951531,2951531,2914975,1805,1881,570966,570741,327947.888889,224228.846154,8.131373,2900.86738,53,570741,128327.434783,203192.716494,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
14995253,14994990,14995045,7,11,92702,99299,19704.323259,24703.533773,91.362246,36444.466792,7,92494,10953.435354,13971.74343,-1,0,-1,0,-1,0,-1,0,VOIP
14332979,14332979,14332608,190446,190451,9601737,9601731,2866595.8,2866521.6,0.83723,260.797145,45,9601686,1302998.090909,3011985.869593,4341611,7071241,9800871,3860279.76626,4133404,6867545,9601686,3866659.28364,CHAT
11910578,11872076,11910578,0,30,1247282,1247307,9203.15969,15901.973298,171.360282,135851.005719,0,1247237,5838.518627,39996.378207,1447862,1447862,1447862,0,1247237,1247237,1247237,0,CHAT
4617108,4616879,4616778,358,147,3848153,3887134,577109.875,577097.25,3.898544,1325.721642,28,3848153,271594.588235,926205.385368,4284898,4284898,4284898,0,3848153,3848153,3848153,0,VIDEO-STREAMING
13987799,13987443,13987799,92,145,7710764,7711067,205697.691176,189024.310811,10.294686,3923.633733,30,7710764,97816.776224,652371.180582,6130126,6993747.5,7857369,1221345.238057,1052102,4381433,7710764,4708385.053829,CHAT
14962977,14962768,14962977,0,0,257622,257301,8377.80963,4510.996985,341.175423,290777.964839,0,257301,2931.617751,10155.93925,-1,0,-1,0,-1,0,-1,0,VIDEO-STREAMING
14989527,14989422,14989319,36,4,483463,481820,10445.590244,14552.736893,164.581578,127528.173504,4,481820,6078.478102,34209.524493,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
14976487,14972508,14976487,57,4,1395344,1395446,17995.802885,8656.928902,171.201698,148478.812154,0,1395295,5843.342567,31027.188935,1626446,1626446,1626446,0,1395295,1395295,1395295,0,P2P
7208488,7208488,7208385,91,215,3197735,3198053,554499.076923,655307.727273,3.606859,1824.515765,33,3197581,288339.52,874579.868911,3529291,3547551.5,3565812,25824.246736,3166850,3182215.5,3197581,21730.09847,CHAT
9436929,9436929,9436531,126216,126219,8870723,8870725,2359232.25,2359132.75,1.059667,384.553068,55,8870668,1048547.666667,2935196.496497,9436874,9436874,9436874,0,8870668,8870668,8870668,0,CHAT
