@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING}

@data
29819412,29780876,29819412,3,39,20235009,20234749,135985.73516,162947.606557,13.548222,7829.89953,3,20234749,73993.578164,1008882.818062,21070566,21100000,21070566,0,20234749,20200000,20234749,0,VOIP
29994302,29994026,29994052,6,67,74380,87329,19916.351926,25247.518519,89.883739,33128.458865,6,74102,11129.611132,13226.240123,-1,0,-1,0,-1,0,-1,0,VOIP
29999572,29999572,29957194,13,52,115412,133771,23201.525135,29226.530732,77.334437,27541.726262,1,101685,12936.426046,16057.492252,-1,0,-1,0,-1,0,-1,0,VOIP
29993801,29993112,29993554,13,278,81947,93716,21047.797895,25745.539914,86.417857,29359.299943,9,81383,11576.148591,13366.094261,-1,0,-1,0,-1,0,-1,0,VOIP
29998462,29998227,29997740,13,74,128336,130008,29295.143555,36538.051157,61.569823,21544.771195,12,127985,16250.521127,21569.522348,-1,0,-1,0,-1,0,-1,0,VOIP
29988440,29988170,29988210,14,226,96099,96129,20970.748252,25740.95279,86.600037,29658.995266,14,95830,11551.787365,13465.487166,-1,0,-1,0,-1,0,-1,0,VOIP
29991181,29990946,29990918,13,213,131167,131202,25034.178631,29990.918,73.354897,24936.730568,9,130943,13638.554343,17876.797945,-1,0,-1,0,-1,0,-1,0,VOIP
29976918,29976677,29976692,71,402,73106,83144,21396.628837,25864.272649,85.465757,29188.957984,0,72835,11705.161265,13523.21935,-1,0,-1,0,-1,0,-1,0,VOIP
29971177,29970909,29970951,13,128,129949,129867,28141.698592,34608.488453,64.495298,22368.590997,12,129685,15513.031573,21148.864739,-1,0,-1,0,-1,0,-1,0,VOIP
29971097,29971097,29966833,40,233,49818,49818,21002.871058,25656.535103,86.650148,29572.290931,8,49563,11545.106703,13409.023338,-1,0,-1,0,-1,0,-1,0,VOIP
29999829,29978268,29999829,6,32,86929,85997,18689.693267,23419.070258,96.233882,36708.909241,0,85837,10394.951143,12862.216346,-1,0,-1,0,-1,0,-1,0,VOIP
29977713,29977713,29939887,13,214,98309,98190,21382.106277,26171.229895,84.996477,29115.162988,12,98031,11769.812721,13955.658698,-1,0,-1,0,-1,0,-1,0,VOIP
29979830,29979553,29979630,13,92,91767,95789,19710.422748,24413.379479,91.761694,32133.837984,9,69230,10901.756364,13005.08457,-1,0,-1,0,-1,0,-1,0,VOIP
29981233,29981017,29981020,14,32,123622,134886,25025.890651,30468.51626,72.84557,24925.59262,1,123432,13733.95923,18378.566931,-1,0,-1,0,-1,0,-1,0,VOIP
29992958,29992958,29984863,40,288,94428,94364,21423.541429,25960.920346,85.253345,29043.817552,-372,94147,11734.334116,13722.158325,-1,0,-1,0,-1,0,-1,0,VOIP
29966033,29965768,29965764,13,396,85811,96611,21327.948754,25921.941176,85.530173,28987.32041,9,85593,11696.343872,13587.392992,-1,0,-1,0,-1,0,-1,0,VOIP
29979713,29979459,29979464,134,237,93717,102549,21413.899286,26436.917108,84.590536,29931.34057,0,93507,11826.316765,14376.991775,-1,0,-1,0,-1,0,-1,0,VOIP
29982328,29982328,29974419,13,142,122127,122073,22013.456681,27274.266606,82.148391,29397.116862,8,121854,12178.037368,15216.198408,-1,0,-1,0,-1,0,-1,0,VOIP
29970268,29970072,29970097,8,270,137728,137816,24871.429046,29791.348907,73.839847,24893.471089,7,137520,13548.94575,17874.608769,-1,0,-1,0,-1,0,-1,0,VOIP
