@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V

@attribute duration numeric
@attribute total_fiat numeric
@attribute total_biat numeric
@attribute min_fiat numeric
@attribute min_biat numeric
@attribute max_fiat numeric
@attribute max_biat numeric
@attribute mean_fiat numeric
@attribute mean_biat numeric
@attribute flowPktsPerSecond numeric
@attribute flowBytesPerSecond numeric
@attribute min_flowiat numeric
@attribute max_flowiat numeric
@attribute mean_flowiat numeric
@attribute std_flowiat numeric
@attribute min_active numeric
@attribute mean_active numeric
@attribute max_active numeric
@attribute std_active numeric
@attribute min_idle numeric
@attribute mean_idle numeric
@attribute max_idle numeric
@attribute std_idle numeric
@attribute class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING}

@data
59990105,59990029,59964416,0,0,210165,208601,6234.673561,8468.354187,278.46259,215223.027198,0,208601,3591.36165,13580.025054,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59964705,59879987,59925440,0,0,349456,349209,5810.206385,7852.894771,299.159314,230628.367137,0,349209,3342.886888,13147.809196,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
32362503,32362503,32362136,0,0,15128637,15128408,21719.800671,11419.243472,133.673221,114919.417698,0,15128408,7482.659653,233567.22232,2885151,15800000,28619351,18200000,2080569,8604488.5,15128408,9226215.43673,AUDIO-STREAMING
29637594,29636549,29637594,29636549,29637594,29636549,29637594,29600000,29600000,0.134964,42.041199,42,29636549,9879198,17100000,29636591,29600000,29636591,0,29636549,29600000,29636549,0,AUDIO-STREAMING
6153793,6153793,6152777,6153793,6152777,6153793,6152777,6153793,6152777,0.650006,202.476749,56,6152777,2051264.333333,3552014.192036,6153737,6153737,6153737,0,6152777,6152777,6152777,0,AUDIO-STREAMING
59986989,59986769,59986989,7,0,391435,390059,4444.122759,2166.142671,686.698911,614638.200961,0,390059,1456.277651,5416.776907,-1,0,-1,0,-1,0,-1,0,P2P
59998442,59998201,59998203,0,0,2151296,2150891,26326.54717,32660.970604,68.635116,27034.802004,0,2150706,14573.340296,44578.341641,11216335,11200000,11216335,0,2150706,2150706,2150706,0,VOIP
59983393,59983143,59983021,11,237,107860,106931,21748.782814,26331.440299,83.989914,28433.58661,8,106661,11908.555291,14028.097087,-1,0,-1,0,-1,0,-1,0,VOIP
59992730,59992495,59992529,21,290,98105,98075,21289.033002,25869.999569,85.660379,29229.158266,12,97824,11676.280654,13533.92172,-1,0,-1,0,-1,0,-1,0,VOIP
59990023,59990023,59989556,12,237,93717,102549,20808.193895,25846.42654,86.781097,30915.757442,8,93507,11525.460711,13707.6546,-1,0,-1,0,-1,0,-1,0,VOIP
