@RELATION <ISCXFlowMeter-generated-flows>,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE duration NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE total_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_fiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_biat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowPktsPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE flowBytesPerSecond NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_flowiat NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_active NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE min_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE mean_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE max_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE std_idle NUMERIC,,,,,,,,,,,,,,,,,,,,,,,
@ATTRIBUTE class1 {VOIP,AUDIO-STREAMING,BROWSING,CHAT,EMAIL,FILE-TRANSFER,P2P,VIDEO-STREAMING},,,,,,,,,,,,,,,,
@DATA,,,,,,,,,,,,,,,,,,,,,,,
59990337,59990337,59951785,0,4,33903801,33942098,36291.7949183303,49221.4983579639,47.8910461863,36378.8421458609,0,33903801,20888.0003481894,635843.730721403,4340268,22000000,39665882,25000000,2738693,18300000,33903801,22000000,FILE-TRANSFER
59977810,59906635,59977810,0,0,387745,387871,6081.2744898995,8227.4087791495,285.8223733077,220721.280086752,0,387683,3498.8805273597,13540.8049647293,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59973902,59918561,59949240,1,5,168947,158521,5469.017981015,7455.4458400697,316.78779213,245353.820733558,1,158321,3156.8534582588,12300.857536045,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59990105,59990029,59964416,0,0,210165,208601,6234.6735605903,8468.3541872617,278.4625897888,215223.027197569,0,208601,3591.3616499042,13580.0250537807,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59972926,59935993,59934978,0,4,241296,240066,6124.0413814243,8305.8450665189,283.5446114468,218764.080311839,0,239897,3526.9892966361,13406.9343734396,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59973840,59924809,59973840,0,4,349867,349526,6473.4588959706,8766.8235638065,268.450377698,207100.595859795,0,349526,3725.3146158147,13955.1878008455,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59994783,59967977,59965541,0,0,171990,176430,5742.9589159165,7796.845793785,302.2762829228,234118.00656067,0,137258,3308.4141943311,12803.5830498157,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59964705,59879987,59925440,0,0,349456,349209,5810.2063846303,7852.8947713275,299.1593137997,230628.367136968,0,349209,3342.8868881704,13147.8091962632,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59983691,59928941,59935691,0,0,350866,390300,5521.3691726553,7509.7971432151,314.0353600448,242987.898160518,0,350825,3184.5238373328,12793.7470842067,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59991999,59991999,59926271,0,5,261647,300566,5640.9966149506,7666.1469873353,307.6076861516,237652.207588549,0,261612,3251.0702324825,12644.0476836649,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59955788,59915987,59916059,1,1,346410,346096,6304.9549615911,8582.7329895431,274.9692823652,212044.181622632,0,346096,3636.9904761905,13795.4098178611,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59986716,59948010,59950562,0,0,318880,355824,5940.7402636012,8066.5449407966,292.1480149038,226078.653813954,0,318840,3423.1177813285,13259.5969895026,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59964799,59964353,59964799,0,0,1927808,1928078,6672.3437187048,9025.406231186,260.7029500758,200938.43723215,0,1927766,3836.0285951894,21216.8115285856,1928078,1928078,1928078,0,1927766,1927766,1927766,0,FILE-TRANSFER
59968746,59931980,59931511,0,4,327836,354294,6061.0821197411,8205.2999726178,286.7160170399,221150.080410219,0,327522,3487.9745245158,13569.5349994721,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
15838960,15799962,15802926,0,1,529345,493188,9918.3691148776,13324.5581787521,175.5797097789,133721.595357271,0,493188,5697.4676258993,27722.2450636659,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
53974744,53974744,53937459,0,5,11015827,11052394,20444.9787878788,27104.2507537688,85.8179151345,66040.9246220788,0,11015827,11655.0947959404,235848.049254713,4391705,12600000,31078172,12400000,4139592,7559848.25,11015827,2809055.4037244,FILE-TRANSFER
38558390,38558152,38558262,434,724,19377772,19415336,3213179.33333333,2754161.57142857,0.7261713988,240.2849289091,51,19377721,1428088.51851852,4279328.81831979,7282868,12800000,20839616,7131018.10078448,7112650,12200000,19377721,6375625.3928991,FILE-TRANSFER
55855964,55855964,55817727,0,6,26517005,26556394,59169.4533898305,79286.5440340909,29.5402653869,22873.1349082078,0,26517005,33872.6282595512,814703.567112068,24360134,27100000,29932854,3940508.10165377,19748348,23100000,26517005,4786163.26422569,FILE-TRANSFER
59977805,59977712,59977556,0,0,18994263,19034003,2553.7644554203,3487.4727293871,678.3509333161,541862.860769913,0,18994263,1474.1994592602,95146.7057177116,2121223,13200000,24216340,15600000,2120974,10600000,18994263,11900000,FILE-TRANSFER
59956070,59955634,59956070,0,0,461777,423410,967.2915799493,1322.8910904197,1789.7604029083,1435957.41015047,0,423410,558.7392130915,3903.2019028802,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
58209545,58208564,58172361,0,0,997131,997235,1392.7159708099,1899.1335901538,1244.2632904964,995084.41442035,0,997088,803.6995181355,6868.2848598592,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59999897,59999816,59999735,0,0,9839365,9876201,3722.5348058072,5096.3845239107,464.8841313844,370866.46998744,0,9839365,2151.1507600746,99546.839171298,12298537,13400000,15031262,1442449.67037877,9233956,9541507.33333333,9839365,302820.887159115,FILE-TRANSFER
59999599,59999547,59999224,0,0,1120010,1119114,1653.7912624035,2259.6875564929,1047.2403323896,836972.443765833,0,1119114,954.9058456544,8011.5398451432,57880120,57900000,57880120,0,1119114,1119114,1119114,0,FILE-TRANSFER
59999507,59999402,59999358,0,0,13351547,13391683,2190.7986270859,2995.3251460237,790.3398272922,631450.655086216,0,13351547,1265.3051941205,61785.6563295817,45541801,45500000,45541801,0,13351547,13400000,13351547,0,FILE-TRANSFER
59975505,59974525,59975505,0,0,1199991,1161957,1489.1253879578,2034.3782436145,1163.1081722447,929877.038967825,0,1161957,859.7775850452,7167.9590226603,29905998,29900000,29905998,0,1161957,1161957,1161957,0,FILE-TRANSFER
59382446,59382210,59382446,0,0,360235,323526,1319.7219752867,1800.2317953071,1313.250046992,1053177.48278675,0,323526,761.4793737097,4692.6529891525,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59988733,59987456,59988733,0,0,375294,375198,3024.0185511922,4095.9123992899,574.8579487418,456002.046250918,0,375065,1739.6106310173,10082.212613046,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
45500166,45499877,45461820,0,0,589778,574446,2635.2297579057,3564.5146620668,659.8217685623,524666.8111057,0,574446,1515.6112721095,10115.4516402792,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59999920,59999920,59999444,0,0,653122,692184,2563.113332479,3473.9994209947,678.034237379,539281.019041359,0,653070,1474.8880312677,10091.3945190243,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
59999994,59999843,59999931,0,0,481376,481496,2017.2082772996,2735.9749658003,861.2667527933,686173.418617342,0,481334,1161.1029317852,6593.0390662433,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
36547917,36547917,36509109,0,0,670399,654477,2221.2177585997,3013.2972103004,781.768219513,622449.755481277,0,654477,1279.1962829443,9959.6047678206,-1,0,-1,0,-1,0,-1,0,FILE-TRANSFER
33355637,33355637,33316704,29,7,20949746,20949992,370618.188888889,241425.391304348,6.8953862281,5029.2848552105,5,20949746,145657.80349345,1427436.97460843,3743562,10600000,23462352,11100000,3743359,9530342.66666667,20949746,9889795.34037645,AUDIO-STREAMING
52019710,52019669,52019665,28,5,11826519,11826265,30456.4806791569,16430.7217308907,93.733702091,79196.731392774,5,11826265,10670.7097435897,241130.724809175,1258141,13000000,36588858,16400000,1257868,6671063.25,11826265,5826394.77010492,AUDIO-STREAMING
32362503,32362503,32362136,0,0,15128637,15128408,21719.8006711409,11419.2434721242,133.673220517,114919.417697698,0,15128408,7482.6596531792,233567.222319646,2885151,15800000,28619351,18200000,2080569,8604488.5,15128408,9226215.43673025,AUDIO-STREAMING
42985973,42985700,42985626,8,3,14557386,14557149,22146.1617722823,11712.7046321526,130.5774793094,111959.266340208,3,14557149,7659.653064861,222113.373014705,2995245,14300000,32460885,15900000,2342960,8143212,14557149,6130176.19578332,AUDIO-STREAMING
44178134,44177906,44177715,0,0,16555522,16555792,42560.6030828516,22323.2516422436,68.3369741239,58781.9304455005,0,16555522,14638.2153744201,384296.757881518,2292953,11000000,22007632,9777396.10865402,2292900,8498628.5,16555522,7195735.31760278,AUDIO-STREAMING
56199204,56199204,56198870,29,1,13325200,13325233,25235.3857207005,13342.5617283951,114.6101642294,97831.9728514304,0,13325002,8726.5844720497,199283.917500084,2511312,10800000,36637437,14700000,1906749,5491579.4,13325002,4996999.954739,AUDIO-STREAMING
35092004,35091964,35091960,20,3,14000586,13999029,59680.2108843537,30330.1296456353,49.7834207474,43284.4188664745,3,13999029,20098.5131729668,432488.050526439,2419810,11700000,21423852,9509974.69249017,1674347,8973878,13999029,6469470.60342502,AUDIO-STREAMING
56300848,56300848,56300578,24,0,14499374,14499133,18279.4961038961,9749.0178354978,157.3155700959,135214.73069109,0,14499133,6357.3676603433,164156.346627275,2777229,9483249.2,25922609,10000000,1033116,4646604.8,14499133,5574104.66206022,AUDIO-STREAMING
59808792,59808495,59808792,29,6,20612520,20650834,1458743.78048781,996813.2,1.7221548297,1044.1608651785,6,20612477,586360.705882353,2746994.43738413,4884218,11900000,22369093,6525113.08955013,4050820,11400000,20612477,6076776.96618027,AUDIO-STREAMING
38210,0,0,-1,-1,-1,-1,0,0,52.3423187647,16304.6322952107,38210,38210,38210,0,-1,0,-1,0,-1,0,-1,0,AUDIO-STREAMING
69,0,0,-1,-1,-1,-1,0,0,28985.5072463768,9028985.50724638,69,69,69,0,-1,0,-1,0,-1,0,-1,0,AUDIO-STREAMING
29637594,29636549,29637594,29636549,29637594,29636549,29637594,29600000,29600000,0.1349637221,42.0411994307,42,29636549,9879198,17100000,29636591,29600000,29636591,0,29636549,29600000,29636549,0,AUDIO-STREAMING
20447661,20447526,20410654,292,1439,18184938,18146838,5111881.5,5102663.5,0.4890534913,152.3401625252,54,18146838,2271962.33333333,5989775.97360777,2027940,10200000,18382714,11600000,2027805,10100000,18146838,11400000,AUDIO-STREAMING
