Source IP, Source Port, Destination IP, Destination Port, Protocol, Flow Duration, Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,label
10.0.2.15,57188,82.161.239.177,110,6,4735770,1236.7576972699,3.3785424546,315718,996566.792859795,3897923,23,676508.857142857,1425870.81273193,3898126,474,676320.285714286,1425919.95112836,3898131,965,837639,0,837639,837639,3897923,0,3897923,3897923,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,2166938,67961.3353035481,89.988730642,11169.7835051546,44566.722211398,423441,5,29684.0821917808,69893.4790830052,423441,29,18052.45,57589.2280094131,424338,7,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4747642,1029.3530978115,3.5807249157,296727.625,933056.745542583,3743359,135,678175.857142857,1370180.43694829,3743562,509,593429.875,1290197.32238129,3743573,451,203,0,203,203,3743359,0,3743359,3743359,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,37405,14516.775832108,53.4687875952,37405,0,37405,37405,37405,0,37405,37405,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,41,13243902.4390244,48780.4878048781,41,0,41,41,41,0,41,41,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4961110,7502.1517362042,12.6987710412,80017.9032258064,307051.245431454,2007954,5,183737.259259259,450238.31883396,2007978,33,145906.970588235,405707.140601817,2008877,6,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4472147,127695.713043422,165.02140918,6068.0420624152,23566.0864413231,331933,5,16320.7153284672,37959.1463325019,331976,28,9674.2922077922,31010.0551759648,331979,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4988706,162039.214176983,201.2545938766,4973.7846460618,22927.0722993374,608241,5,14130.9093484419,38015.4664712384,608450,31,7685.6733436055,28746.9218802755,608241,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4997452,237993.681580133,291.3484711809,3434.6749140894,18345.2744906427,507041,5,10014.9338677355,30722.4588598507,508936,36,5232.8910994765,22668.4946220625,507041,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4975528,177690.086358674,215.8564879948,4637.0251630941,24856.6231723086,572352,5,13557.2179836512,41516.7214413242,573247,39,7056.0340425532,30418.5942918476,572352,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,3181524,136268.656153466,168.7870341384,5935.6791044776,33344.0342759526,740503,5,17103.8440860215,55965.1238892377,740503,16,9109.8853868195,42957.4514373534,778531,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,45,12066666.6666667,44444.4444444444,45,0,45,45,45,0,45,45,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4965923,19664.6222665958,30.004492619,33553.5337837838,184177.131756044,2080569,7,81408.0655737705,282245.529151946,2080569,28,57739.4534883721,239524.909191982,2080801,7,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999648,348413.528312393,417.2293729479,2397.9127098321,17218.6097635133,470447,0,7071.6379066478,29453.2203526313,470725,0,3592.8576615832,21196.7214782711,470447,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999979,309637.300476662,377.0015834067,2653.9166666667,12403.8609257386,373418,4,7716.0169753086,20578.7795905289,373633,32,4048.1813765182,15395.2592774501,373418,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,1369372,114779.621607569,147.5128745147,6812.7960199005,46400.873386642,541474,5,19284.3661971831,77611.4192421339,541474,18,10615.2015503876,60465.5183554256,580582,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,858001,1265.7327905212,4.6619992284,286000.333333333,495294.362206288,857917,37,429000.5,606631.857327407,857954,47,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4925689,18195.424031034,29.4375061032,34206.1736111111,205597.31115488,2342960,4,78185.5396825397,307638.246610173,2342960,29,61566.675,278074.827731982,2383866,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999342,254605.106031954,309.2406960756,3235.8200647249,16568.1276039811,474905,4,9468.3977272727,27777.8522195075,475120,8,4920.5777559055,20291.5799128958,474905,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4993806,349780.908589561,425.3268949575,2352.2402260952,18181.8106046426,488943,3,6822.1393442623,30777.9627322937,489178,26,3592.6223021583,22715.4005496927,488943,3,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4686000,315034.357661118,381.9889031157,2619.3404136389,16288.2693974882,456175,5,7631.7182410424,27539.2844988466,456630,31,3991.4625212947,20367.3185477398,456175,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,713119,2243.6648020877,5.6091620052,237706.333333333,380429.602055799,676490,194,356462.5,452587.230832356,676490,36435,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,43,12627906.9767442,46511.6279069767,43,0,43,43,43,0,43,43,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,273,1989010.98901099,7326.0073260073,273,0,273,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4798331,13900.4583051899,22.299420361,45267.2735849057,257870.568097642,2563165,6,106625.422222222,390217.795637285,2563165,31,79965.2,345084.600534361,2601069,7,758592,0,758592,758592,2563165,0,2563165,2563165,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4779356,356292.144799425,428.3003818925,2335.9511241447,16903.1920439853,501053,0,6866.7873563218,28755.1725736739,501233,0,3470.9051148999,20891.2559666333,501053,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,2405539,293049.083802009,357.0925268724,2803.6585081585,22502.8606153769,535284,5,8180.425170068,38009.169165991,535284,32,4269.6394316164,29099.1214254442,576768,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,2292995,473.6163838124,1.7444434026,764331.666666667,1323779.00809853,2292900,42,1146497.5,1621317.36040804,2292942,53,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,228,2381578.94736842,8771.9298245614,228,0,228,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,3634162,1785.0057317203,6.0536651916,173055.333333333,418179.509476652,1906749,14,363416.2,558414.507741099,1906749,857,363383.3,558800.698319386,1907660,161,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4999975,30181.9509097545,42.2002110011,23809.4047619048,157503.168655581,2143448,4,62499.6875000001,252045.289265745,2143448,29,38758.6046511628,203204.777404985,2181451,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4925182,235590.684770634,286.0807986385,3497.9985795455,23042.758722261,524373,3,10238.9792099792,39027.6726288484,524565,14,5318.7634989201,28853.9762240597,524373,3,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4988774,331597.10181299,403.305501512,2480.7429139732,17225.7104632357,619052,4,7229.6797101449,29098.1091335314,619280,29,3779.1113636364,21225.5252713615,619052,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4991989,212288.729001606,260.8178824112,3837.0399692544,18872.2640989347,456444,5,11167.7606263982,31365.9012384606,456677,33,5852.1981242673,23109.2122098424,456444,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4978370,215224.661887325,259.7235641385,3853.2275541796,18129.8817421353,461453,0,11212.4774774775,30231.2031418086,462322,33,5857.2703659976,22198.3925637113,461453,1,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,1053981,75523.183055482,92.9808032593,10865.7835051546,81617.8427654899,804339,6,30108.0857142857,135251.671142089,804339,30,17277.2295081967,102866.145494261,804694,6,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4213616,13422.200789061,21.3593265262,47344,263959.586772939,2390772,5,117044.888888889,409382.034856146,2390772,32,81025.8653846154,343099.113732177,2391011,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,293503,3700.1325369758,13.6284807992,97834.3333333334,168928.559492862,292896,43,293503,0,293503,293503,292896,0,292896,292896,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,40,13575000,50000,40,0,40,40,40,0,40,40,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4998077,60899.8220715687,80.6310106867,12433.0273631841,91688.4626692754,1674347,4,32882.0855263158,147656.7692405,1674347,20,20067.8634538153,118452.393176122,1712108,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4838725,236340.978253569,276.9324563806,3613.6855862584,29361.5567331535,613640,3,11145.6497695852,51032.0616403781,613880,24,5350.3318584071,36339.9722400253,613640,3,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,44,12340909.0909091,45454.5454545455,44,0,44,44,44,0,44,44,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4977508,17702.8344304017,27.3229093755,36870.4296296296,190960.441748935,1966596,6,88883.0892857143,291549.338074943,1966596,29,63811.282051282,248838.245662962,1966851,6,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4998561,339685.361447024,407.3172258976,2456.2953316953,19880.1885768294,586856,0,7192.1741007194,33631.9059293527,587080,24,3653.6153846154,24551.6950853544,586856,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4114153,273485.210686136,331.0523454038,3022.8897869214,25707.509711765,699638,5,8828.2381974249,43492.3532153372,699638,24,4601.9172259508,31801.3426864778,699876,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4029512,9597.6882560469,13.4011264888,76028.5283018868,471823.208050088,3431519,7,191881.523809524,745332.931517897,3431519,41,19281.8709677419,58420.5733805834,267818,7,47,0,47,47,3431519,0,3431519,3431519,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4992441,185647.662135617,229.1464235631,4367.8398950131,28047.7973179763,577622,5,12481.1025,47760.418206189,577736,26,6728.0633423181,34962.6749771436,577815,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4960598,313287.228676865,374.5516165591,2671.2967151319,21646.6315130259,673573,4,7799.6823899371,36584.6023072666,673797,31,4064.3098360656,26907.2076818863,673573,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4761831,195090.291948622,242.7637604106,4122.7974025974,31914.6242306545,1033116,5,11585.396593674,53123.9277359416,1035298,31,6403.5356662181,39799.5029488325,1033116,5,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4579428,195993.036684931,241.7332470343,4140.5316455696,20786.4119524817,598594,4,11712.0920716112,34450.2429107838,599488,28,6413.3655462185,26142.5025795973,598594,4,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,568208,1911.2719285895,7.0396756117,189402.666666667,327823.825742324,567941,42,568208,0,568208,568208,567941,0,567941,567941,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,39,13923076.9230769,51282.0512820513,39,0,39,39,39,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,4884431,10052.1432281467,14.5359817756,69777.5857142857,485315.221738796,4050820,6,187854.538461538,791848.891950237,4050820,29,113586.418604651,617977.069989857,4051039,6,833398,0,833398,833398,4050820,0,4050820,4050820,AUDIO
10.0.2.15,57188,82.161.239.177,110,6,1756616,3709.4049012419,12.5240803909,83648.380952381,121899.361668335,398106,21,195179.555555556,132854.264198699,398106,2170,156170.636363636,143675.625534238,438350,2949,0,0,0,0,0,0,0,0,AUDIO
